"RegionName","City","State","Metro","CountyName","SizeRank","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950,3000,3000,3000,3000,3000,3000,3000,3000,3300,3300,3300,3200,3000,3100,3100,3100,2975,3000,3000,3000,3000,3225,3100,3000
"02135","Boston","MA","Boston-Cambridge-Newton","Suffolk County",2,3200,3000,3000,3000,3000,3400,3600,3450,3025,3050,3200,3200,3400,3500,3400,3200,3300,3700,3600,3600,3600,3800,3600,3500,3500,3500,3600,3600,3500,3500,3600,3700,3800,3850,3800,3800,3850,3800,3750,3750,3750,3900,4000,3899.5,3800,3800,3837.5,3800,3800,3900,3800,3790,3800,3837.5,3770,3800,3800,3800,3995,4000,4000,4000,3900,4000,4000,4000,4000,3750,3700,4075,4350,4350,4300,4300,4300,4300,4300,4300,4200,4200,4300,4200,4195,4200,4200,4250,4250,4250,4250,4250,4200,4200,4375,4500
"06511","New Haven","CT","New Haven-Milford","New Haven County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1297.5,1300,1375,1350,1300,1395,1525,1650,1650,1625,1650,1600,1600,1450,1285,1262.5,1300,1250
"33178","Doral","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,3949.5,4275,4000,3800,3900,4100,4500,4050,4500,4300,4500,4250,4300,4500,4500,4200,4225,4500,4500,4450,4375,4100,4100,4300
"92880","Eastvale","CA","Riverside-San Bernardino-Ontario","Riverside County",5,,,,,,,,,,,2500,2497.5,2487,2400,2500,2500,2499.5,2425,2495,2495,2450,2495,2495,2400,2400,2450,2425,2500,2500,2500,2480,2400,2450,2495,2500,2500,2500,2500,2500,2500,2500,2500,2450,2500,2500,2500,2500,2525,2500,2600,2600,2600,2600,2600,2555,2650,2600,2600,2600,2625,2565,2600,2695,2650,2700,2662.5,2697.5,2777.5,2695,2700,2750,2800,2765,2785,2800,2800,2800,2800,2795,2750,2800,2800,2800,2895,2800,2900,2900,2900,2900,2900,2850,2887.5,2897.5,2872.5
"28173","Waxhaw","NC","Charlotte-Concord-Gastonia","Union County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2395,2395,2345,2295,2250,2190,2250,2295,2250,2195,2195,2370,2572,2445,2395,2355,2370,2390,2395
"30519","Buford","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,1962.5,1975,1995,1995,1995,2000,2000,1997.5,2038.5,2066,2097.5,2250,2072.5,2100,2072.5,2000
"19121","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,2750,2750,2750,2755,2750,2750,2700,2750,2875,3025,3000,3000,2912.5,2875,2750,2750,2650,2600,2750,2500,2887.5,3137.5,3000,3000,2925
"02130","Boston","MA","Boston-Cambridge-Newton","Suffolk County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3450,3600,3600,3300,3350,3400,3500,4000,3500,3500,3400,3400,3400,3600,3600,3600,3500,3400,3300,3200,3000,2912.5,3200,3000,3397.5,3550,3700,3500,3450,3550,3500,3500,3100,3450,3350,3500,3800,3900,3600,3500,3500,3225,3200,3375,3350,3400,3500,3800,3800,3650,3650,3750,3750,3895,3797.5,3500,3400,3500,3400,4000
"02446","Brookline","MA","Boston-Cambridge-Newton","Norfolk County",10,,,,,,,,,,,4000,4100,4000,4200,4050,3950,3450,3450,3700,3795,3800,3800,4000,4000,3800,4000,3950,3950,3950,3700,3700,3700,3900,4500,4500,4500,4500,4400,4500,4500,4500,4500,4300,4000,4000,4000,4000,4300,4200,4200,4000,4000,4000,4000,3900,4200,4295,4800,4900,4800,4375,4600,4600,4447.5,4800,4800,4500,4297.5,4700,4700,4750,4600,4600,4597.5,4500,5100,4800,5100,4600,5000,5500,5500,5500,6250,6250,6000,5750,5500,5500,5500,5449.5,5750,6250,6000
"02840","Newport","RI","Providence-Warwick","Newport County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,3000,3000,3000,2600,2875,2800,2800,3000,3000,3000,3000,3350,2900,2550,2400,2750,2700,2650,2900,3133.5
"02143","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,3800,4212.5,4250,4300,3987.5,3500,3750,3800,3775,4450,4150,4100,3800,4000,3800,3785,3600,3000,3150,3200,3200,3600,3850,4200,4325,4200,4200,4200,4000,4000,3999.5,3999.5,4200
"02115","Boston","MA","Boston-Cambridge-Newton","Suffolk County",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5150,5800,5300,5400,5400,5500,5300,5000,5000,4925,4700,5075,5550,6500,6100,5700,5700,5700,5700,5040,4800,4799.5,5550,6350,6600,6500
"02144","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,4500,4550,4400,4200,3800,3825,3900,4100,3940,3800,4375,4600,4600,4500,4500,4400,4200,4400,4300,4000,4000,3974.5
"02134","Boston","MA","Boston-Cambridge-Newton","Suffolk County",15,,,,,,,,,3800,3999,3800,3800,4000,4000,3900,3900,3900,3900,3900,3900,4000,4000,4000,4000,3900,3975,3975,3975,3900,3975,3975,3800,3985,4050,4000,4100,4150,4000,4000,3900,3800,3800,4000,4000,4050,4200,4200,4100,4000,3975,3900,3875,3900,3900,3900,4075,4300,4400,4500,4500,4400,4400,4500,4245,4200,4350,4112.5,4000,4200,4500,4500,4500,4500,4500,4500,4400,4400,4400,4200,4500,4600,4800,4800,4800,4750,4600,4500,4500,4500,4400,4400,4600,4800,4800
"90210","Beverly Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000,25000,27000,27000,27750,28500,28250,28500,28500,29950,29725,34500,35000,36000,35000,32750,36750,37500,37750,36000,35000,32750,31750,32000,30750
"02445","Brookline","MA","Boston-Cambridge-Newton","Norfolk County",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3850,3900,3900,4199,4200,3900,3900,3600,3800,4200,4400,4500,4800,5000,4700,4400,4250,4250,4250,3550,3800,4400,4400
