"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-01-31,"79366","TX","Lubbock","Lubbock County","Ransom Canyon",15924,1679,-0.00709639266706091,-0.0187025131502046,0.0415632754342432,487
2019-01-31,"47386","IN","New Castle","Henry County","Springport",15925,1062,0.00473036896877956,0.0133587786259542,-0.0380434782608696,500
2019-01-31,"12719","NY",,"Sullivan County","Highland",15926,1578,0.0187217559715946,0.0712830957230143,0.0763983628922237,449
2019-01-31,"43066","OH","Columbus","Delaware County","Radnor",15927,1702,-0.00234466588511137,0.00235571260306243,0.046740467404674,428
2019-01-31,"72768","AR","Fayetteville-Springdale-Rogers","Benton County","Sulphur Springs",15928,1013,0.011988011988012,0.0379098360655738,0.014014014014014,405
2019-01-31,"03590","NH","Berlin","Coos County","Stratford",15929,1132,0.0253623188405797,0.0699432892249527,-0.018213356461405,479
2019-01-31,"62017","IL",,"Montgomery County","Coffeen",15930,848,-0.0105017502917153,-0.0105017502917153,-0.0640176600441501,416
2019-01-31,"48613","MI","Bay City","Bay County","Bentley",15931,806,-0.0122549019607843,-0.0218446601941748,-0.0472813238770686,436
2019-01-31,"67464","KS","McPherson","McPherson County","Marquette",15932,753,-0.00921052631578947,-0.0246113989637306,-0.0233463035019455,426
2019-01-31,"49102","MI","Niles-Benton Harbor","Berrien County","Berrien Center",15933,1187,-0.00419463087248322,-0.00835421888053467,0.0909926470588235,531
2019-01-31,"56324","MN","Fergus Falls","Otter Tail County","Dalton",15934,1297,0.00231839258114374,0.00464756003098373,0.014866979655712,545
2019-01-31,"24059","VA","Roanoke","Roanoke County","Bent Mountain",15935,1161,0.026525198938992,0.0840336134453782,0.032,696
2019-01-31,"61859","IL","Champaign-Urbana","Champaign County","Ogden",15936,1144,0.00615655233069481,0.0223413762287757,0.0315599639314698,440
2019-01-31,"06778","CT","Torrington","Litchfield County","Litchfield",15937,1502,-0.0221354166666667,-0.0195822454308094,-0.00988793671720501,419
2019-01-31,"37723","TN","Crossville","Cumberland County","Crab Orchard",15938,869,-0.00229621125143513,0.0151869158878505,0.0199530516431925,891
2019-01-31,"20658","MD","Washington-Arlington-Alexandria","Charles County","Marbury",15939,1700,0.00830367734282325,0.0303030303030303,0.0423053341508277,466
2019-01-31,"98351","WA","Seattle-Tacoma-Bellevue","Pierce County","Longbranch",15940,1838,0.0060207991242474,0.0222469410456062,0.0378317334839074,539
2019-01-31,"04978","ME",,"Somerset County","Smithfield",15941,1238,0.00896495517522412,0.0368509212730318,0.0617495711835334,584
2019-01-31,"51525","IA","Omaha-Council Bluffs","Pottawattamie County","Carson",15942,1062,0.0152963671128107,0.0651955867602808,0.0870010235414534,529
2019-01-31,"08241","NJ","Atlantic City-Hammonton","Atlantic County","Port Republic",15943,1421,0.0230381569474442,0.06282722513089,0.0179083094555874,467
2019-01-31,"47354","IN",,"Randolph County","Losantville",15944,845,0.014405762304922,0.0575719649561952,0.00955794504181601,501
2019-01-31,"17823","PA","Sunbury","Northumberland County","Washington",15945,932,0.00322927879440258,0.0286975717439294,-0.0251046025104603,429
2019-01-31,"49322","MI","Grand Rapids-Wyoming","Montcalm County","Coral",15946,1026,0.0118343195266272,0.0416243654822335,0.0857142857142857,551
2019-01-31,"48727","MI","Detroit-Warren-Dearborn","Lapeer County","Clifford",15947,998,0.0101214574898785,0.0385015608740895,0.040667361835245,470
