RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
72234,32808,Florida,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82500,88300,97200,94100,97500,97100,105300,107700,101e3,94400,92400,97400,99500,103300,110800,106200,108300,105500,119100,116800,114e3,116900,111400,121e3,116900,124400,
72912,33919,Florida,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59400,60500,61300,60500,56700,59300,61200,63800,63700,64400,64300,66500,66400,65400,64800,66500,67500,66800,66800,70300,71600,72300,71200,72400,72100,67800,67800,69800,74e3,74500,73800,75200,75e3,75900,77500,74200,75300,77200,84300,84600,86100,88200,89900,88600,87100,88500,90500,95700,96200,96500,94600,95e3,100700,99600,101500,103200,106700,106900,105500,105600,107400,110500,112300,118600,120300,124900,122700,122900,125500,127300,131300,128500,132e3,129200,122400,118400,118700,126300,131200,129200,130400,124900,127e3,125700,132300,129400,136900,,
72212,32780,Florida,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41e3,42500,47e3,48300,48200,44900,48500,48800,52e3,49900,5e4,47800,48100,47300,45800,45e3,45300,5e4,52700,52100,48100,45500,43700,43400,44300,48900,49600,50300,48500,47700,47200,48500,5e4,52300,52200,54200,50400,51900,55200,58900,62900,61500,63800,62200,62800,64400,65800,67700,63800,65400,67600,76400,76300,76e3,73300,74600,76600,77600,78800,78800,80200,79e3,80100,93200,95400,98100,92400,92e3,95400,100200,102100,96800,87500,91300,94700,95100,95e3,107300,
94801,85206,Arizona,530,160100,159200,160700,153200,154800,149100,152900,140500,138500,135900,134200,129500,126400,123e3,122100,116200,110900,108900,108200,110600,103100,95500,89800,90800,94100,100200,97700,96500,88700,84e3,78600,77700,83900,87600,85900,83400,80400,83500,83e3,81300,81300,80200,84500,81800,78300,74700,69200,73e3,73e3,75800,71300,71500,58100,66e3,66700,77800,78100,80300,9e4,91400,93700,99900,99800,91300,85900,83e3,83e3,87600,90800,109300,108e3,114900,109100,109700,106e3,101400,98600,100600,11e4,114700,117500,119200,121700,122400,120900,121700,124300,127e3,128900,127400,126e3,118200,122800,126600,129700,126700,133100,138500,142300,136e3,150100,151400,153100,143300,141200,141900,142800,145500,149900,156400,159e3,159600,161100,165100,166900,164100,166100,164800,166100,161800,162300,168e3,175400,182e3,181900,183200,189e3,186e3,178200,165800,
96104,90247,California,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330600,309e3,297800,309e3,303200,319500,322400,334600,335900,342600,344800,348e3,352900,318800,313e3,296800,334300,337600,357200,353100,363900,355900,365800,364100,365200,360200,369600,376800,346300,327e3,32e4,339100,344e3,369e3,374200,376200,362700,371600,385300,395100,412400,411300,401200,391500,381100,379500,406300,406400,415300,363800,378600,373200,413600,408200,407500,410800,423600,448800,473300,468800,
95044,85706,Arizona,532,132300,131500,120500,120100,114300,108700,114e3,117600,117600,110800,97e3,96200,91800,91600,83e3,80800,82500,82300,86700,88400,91500,86400,81700,81100,83600,81500,82600,78300,82300,77400,72800,68100,66300,64900,59700,64e3,67300,70600,65e3,63500,67500,66300,67200,65400,64300,62100,57700,56200,55e3,57200,63500,67600,67800,66300,65800,65600,63600,63e3,67700,75300,80500,77100,77400,78300,80400,76700,74900,78900,83600,86600,86100,87400,89400,94e3,90300,86400,86700,93400,98900,97500,93500,88300,91100,94100,96400,93100,93200,96100,98600,98900,103200,107400,100700,99400,88400,94700,87e3,98200,100300,109300,110600,111700,108800,107200,108700,110300,115200,113200,114300,112800,118800,119e3,120200,121e3,121100,109200,108800,113300,125400,128800,132100,134600,133200,130600,125700,126e3,127e3,134700,137900,136700,
96560,91942,California,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237100,241800,247300,260200,270100,271900,279e3,274200,279700,277600,264900,261200,265300,277700,270900,265400,278200,289400,293900,290200,296700,302100,311900,306500,295700,296400,304300,305600,297500,323700,335400,348200,328300,331300,335400,355100,364200,351700,354600,364900,381500,372900,351300,354700,355700,370400,362900,366400,376400,395400,389600,379200,361700,373200,360400,368100,364500,384200,388e3,391800,385700,371200,372700,,,
74178,37115,Tennessee,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83700,84800,83800,87500,86300,85900,85100,86500,88400,90100,95100,97800,98900,95700,93100,95200,95200,95400,92900,93300,93900,97800,96e3,96200,96e3,102800,105500,105300,110300,119e3,128e3,128600,129e3,129200,126500,127500,128200,132200,135500,133100,132700,129800,134600,142400,144e3,146800,141700,139800,132700,139400,146900,159600,157800,150500,
97274,93446,California,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251e3,257100,255e3,248700,247400,261100,276800,286100,282e3,28e4,279700,286200,308300,325200,325600,319600,328200,326500,325500,293900,295900,302700,320300,326400,325400,327e3,336200,334100,336100,327700,329500,334800,340700,346e3,342e3,342e3,343500,342100,346900,354700,360300,363200,365300,363800,369900,364e3,363200,358600,361500,367200,364900,359100,365800,374700,385500,377900,379700,385300,403700,407300,412700,411e3,401e3,394e3,396300,405100,405900,395e3,393300,392800,393100,403e3,414100
93296,80220,Colorado,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104500,91500,80900,82400,89200,87800,91300,100200,110500,111800,114600,118300,122600,106e3,105500,106300,126700,129500,114900,112600,122700,135400,133700,118900,134400,139900,146600,140100,137100,137500,141700,141600,142400,135100,148e3,159400,163700,146e3,139700,143e3,157800,163900,156300,160600,159400,168800,158900,157e3,150900,158300,161900,168800,186900,190400,201800,197100,201500,206400,213900,216700,220500,219700,227600,223400,221e3,218300,216500,221500,230700,227e3,224500,227200,239600,242600,237500,230300,236500,240100,229500,227400,237e3,252800,253500,242900,261300,259500,262400,244900,259700,272100,284500,266900,
