"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-01-31,77098,"44264","OH","Akron","Summit County","Peninsula",12888,265700,0.00377786173026067,0.0102661596958175,0.09296585767174,0.0691440130733325,0.0351978718681341,"2019-01","2019-Q1",265700,0,"2019-01"
2019-01-31,62201,"11719","NY","New York-Newark-Jersey City","Suffolk County","Brookhaven",12889,353800,0.00682982356289129,0.00454287336740488,0.0611877624475105,0.0624058393564337,0.0111712004405384,"2006-06","2006-Q2",385800,-0.0829445308449974,"2005-03"
2019-01-31,78190,"46573","IN","Elkhart-Goshen","Elkhart County","Wakarusa",12890,181000,0,0.00948131622978249,0.115218730745533,0.0569754317017199,0.0305222608779363,"2019-01","2019-Q1",181000,0,"2019-01"
2019-01-31,67525,"23086","VA","Richmond","King William County","King William",12891,206800,0.00339640950994663,0.0167158308751229,0.0776446065659197,0.0433041110655132,0.00507090724228099,"2007-05","2007-Q2",222700,-0.0713964975303098,"2006-06"
2019-01-31,69069,"26570","WV","Fairmont","Marion County","Fairview",12892,92100,0.00326797385620915,0.0233333333333333,-0.00108459869848156,0.0247558453962149,0.046788896982729,"2015-10","2015-Q4",97400,-0.0544147843942505,"2015-08"
2019-01-31,75051,"38873","MS",,"Tishomingo County","Tishomingo",12893,81400,0.00493827160493827,0.00493827160493827,-0.163412127440904,0.00986783648931722,,"2012-08","2012-Q3",100000,-0.186,
2019-01-31,70956,"30205","GA","Atlanta-Sandy Springs-Roswell","Fayette County","Brooks",12894,333300,-0.0171040990858154,0.0042181379933715,0.180240793201133,0.128261396511758,0.0445245592134227,"2018-11","2018-Q4",339700,-0.0188401530762437,"2018-11"
2019-01-31,81515,"53956","WI","Beaver Dam","Dodge County","Randolph",12895,136600,0.00441176470588235,0.0301659125188537,0.0919264588329337,0.0504512188742083,0.0177160137065808,"2019-01","2019-Q1",136600,0,"2019-01"
2019-01-31,58417,"01541","MA","Worcester","Worcester County","Princeton",12896,370400,0.00461079468402495,0.00898937619177336,0.0251868253528923,0.0575540903745337,0.0196839923732643,"2005-10","2005-Q4",374800,-0.0117395944503735,"2005-08"
2019-01-31,65111,"17563","PA","Lancaster","Lancaster County","Fulton",12897,222900,0.0173436786855317,0.0430510060832943,0.0348189415041783,0.0318045399361082,0.00328886518780558,"2019-01","2019-Q1",222900,0,"2019-01"
2019-01-31,74328,"37356","TN",,"Grundy County","Monteagle",12898,197300,0,0.00101471334348047,0.0775532495903878,0.0628031144123029,0.032567393471421,"2018-11","2018-Q4",197500,-0.0010126582278481,"2018-11"
2019-01-31,78690,"47598","IN","Jasper","Pike County","Winslow",12899,65300,0.00153374233128834,0.0332278481012658,0.270428015564202,0.0891826543927891,,"2019-01","2019-Q1",65300,0,"2019-01"
2019-01-31,84080,"59474","MT",,"Toole County","Shelby",12900,140000,0,-0.00355871886120996,0.000714796283059328,0.0143085558833194,,"2017-05","2017-Q2",150400,-0.0691489361702128,"2016-07"
