RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
69372,27513,North Carolina,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323200,333900,348500,353700,354200,365100,371900,378700,361100,354400,364200,374200,357600,353500,357600,364300,359200,376400,379900,38e4,361700,359400,360700,347300,349800,345600,374900,389600,401300,377900,400200,4e5,400900,367400,397600,392600,397900,361800,363300,412900,438700,444500,389300,412800,422600,432200,392700,395800,41e4,420200,415400,415100,407700,408700,41e4,425200,424200,433700,426e3,432700,415800,418900,414900,406400,398200,406300,409800,416200,404800,419300,403900,396100,395700,388200,440200,440500,465400,
90629,75024,Texas,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335800,347400,348e3,358500,346400,338600,337500,362400,378500,381200,377500,38e4,380900,391500,397800,397100,377400,375200,376500,386800,381100,391100,399500,406300,395300,392500,396300,391800,399300,399900,409200,406500,412800,412500,412600,413600,423900,425700,424800,425e3,429800,439100,426100,415900,401e3,422400,421500,436300,420900,429500,418100,417600,400900,408800,
60944,08053,New Jersey,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326500,336e3,330700,317600,308100,312e3,316400,329800,335500,332100,328e3,317200,316100,313800,321600,321200,324100,326e3,325900,321100,317100,315500,316700,325900,330600,343100,338900,338600,326e3,326700,326400,341500,339100,337800,330400,338200,347e3,341600,337600,331400,341200,338e3,359500,353400,384800,369e3,357500,326300,319e3,335600,334700,358700,359800,364200,347500,343300,349700,353300,362200,358200,354800,349e3,353700,358500,354800,354300,353800,362800,357200,355500,342400,344400,345900,361400,358e3,363800,360600,369200,381600,
72261,32837,Florida,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241800,223700,226500,224200,224600,224100,221100,215700,212800,204900,205800,218500,236100,245600,245500,233800,248600,251300,269200,258500,247200,227700,218400,231600,243500,257500,246400,246e3,256200,270300,274800,262600,265100,254e3,256400,260900,277400,275300,277500,273900,276200,266300,269e3,275900,273200,281600,274200,276e3,268500,272500,274400,281e3,283600,286700,281700,295300,287e3,296e3,295200,302200,325400,332600,346900,330300,322300,316200,322200,327100,349300,344700,345300,325700,329e3,326800,328600,329600,328800,324600,319400,307e3,301600,288800,294900,300600,316900,315900,326500,319e3,340100,340300,352400,332600,324100,31e4,312e3,
93288,80211,Colorado,374,369500,355900,351300,347800,349300,356700,372700,392900,383500,363100,372e3,367800,369300,352200,362600,365500,353400,349200,349800,361800,366100,360900,353800,362400,375e3,371500,366300,360900,368600,386800,386700,381800,372800,366400,369100,351300,381100,391300,394800,369700,35e4,346900,354700,367600,374e3,360500,359800,358100,370900,365100,368400,360100,358900,361200,374100,381300,374900,371e3,384600,393700,403700,406200,410800,406300,407600,414e3,422500,423500,418100,425e3,423500,432400,428900,441700,451300,456100,454200,445300,445300,448700,465800,455900,462700,463e3,483e3,482800,489100,499200,498300,497200,497900,511200,515900,521e3,518900,525200,522500,517200,520500,527400,549e3,568200,583600,589300,577200,56e4,563900,584300,611e3,605900,586600,580900,584200,588400,577500,569900,573100,571e3,577800,588200,615400,629300,638700,643600,638100,624300,623700,641e3,643800,,
90663,75063,Texas,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291300,283100,281900,250300,259400,281600,285e3,278900,263200,261e3,277700,278700,295500,277700,286200,282800,294700,298200,301300,305300,295700,291100,281800,315800,325700,338600,309500,302400,292900,298100,300800,310900,305600,303700,292600,294500,287200,297100,303400,327500,316500,310900,295300,300200,319900,331600,335200,328100,329200,332800,327300,327100,323600,333900,345800,348800,354600,350300,379700,382300,380300,354100,352600,357600,381300,376600,379400,364800,370500,379e3,387900,390100,389900,386900,381300,377400,384500,394100,399200,425600,435400,441500,434800,
98440,95831,California,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360900,368300,370600,363300,36e4,346400,346600,348e3,429900,429500,439700,381100,395e3,388900,392600,396300,411500,408300,406400,418400,423800,432e3,433400,430100,424700,419100,431700,433500,442e3,447100,452700,446600,438300,434700,426800,433e3,431200,447900,455600,501700,492200,481900,485e3,539700,548200,532500,495100,502200,504300,521500,519400,509300,497600,509700,523300,519200,522500,505800,538700,597300,603800,629700,562300,574400,557300,577300,566200,558600,568500,604e3,579600,599400,583500,603300,582400,582200,565600,542900,537900,575500,59e4,
96826,92346,California,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400500,402800,411100,424300,432900,432300,439e3,422900,415200,415300,422900,443e3,450200,467800,46e4,462200,450800,454500,456600,453200,461800,474700,502e3,504300,51e4,519800,523700,521300,507800,505200,506700,520500,532300,518500,508e3,,
76463,43016,Ohio,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312300,326200,322100,296200,298600,291300,310700,297100,318200,305e3,308700,316800,330500,335e3,328400,326800,322300,316e3,303300,311200,311400,316100,309300,306100,305100,314200,314900,334600,330700,331400,320900,340900,348600,369400,378100,377800,364900,334400,352700,352500,373800,379600,394e3,383700,371900,381500,423900,407500,373e3,346600,354100,371100,350200,368800,
91463,76542,Texas,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197300,195300,191400,188700,187500,188300,194e3,193900,206600,201600,209500,196600,201600,191800,192800,209600,213900,217e3,194800,198500,200500,204400,198500,194400,193100,196100,199400,198600,199300,194900,195900,194200,190700,191400,188500,192100,190800,193900,194e3,195100,211e3,211600,215300,200300,195200,198900,207700,209800,212100,204900,219100,219200,228400,223700,231800,
74252,37221,Tennessee,380,289400,292100,288e3,288900,287300,295500,289600,285800,278600,272900,282500,277700,276600,269500,272100,269100,277700,282100,287600,270200,252600,253600,264500,273700,268600,260600,265500,272800,277600,287e3,291300,284900,263700,262100,285900,282100,271400,246400,256900,263400,269700,262700,270300,262600,265100,249400,251900,264800,265300,270400,263500,267700,259700,261700,264600,263100,254500,255e3,262700,270300,262900,264500,264600,278100,279700,280600,279500,276600,262600,267200,284500,307e3,309700,288300,286800,281700,297700,292800,294100,292100,301200,300400,299600,301200,315300,323100,320300,312500,318200,330800,335400,336800,333200,330400,325600,322200,323300,326600,334200,341900,346200,350300,349100,351100,350100,363900,367200,365300,359300,382400,391700,393100,367300,365900,381300,392800,390500,378500,428800,429100,438400,412100,426300,421300,394300,394600,399100,404200,400100,388800,
96602,92037,California,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1251900,1131400,1051600,1014800,1063800,1239100,1261900,1264700,1179700,1075500,1078900,975900,955800,907200,965600,1057800,1188200,1252300,1217500,1089200,1036200,1060600,1130100,1139800,1179700,11e5,1134600,1082300,1121800,1253500,1320400,1358200,1241e3,1238600,1314300,1373600,1453e3,1450100,1348600,1280700,1220800,1234500,1256900,1252200,1313e3,1325300,1325200,1303100,1301500,1386e3,1505100,1552700,1446100,1394800,1345400,1473300,1521700,1520900,1569100,1552600,1597100,1535800,1380900,1415400,1490900,1692200,1608300,1612800,1569100,1613e3,1547800,1504100,1493900,1500800,1512900,1528200,1610100,1653900,1725800,1638400,1598600,1622100,1617100,1702900,1655700,1756600,1621100,1652700,1557500,1650600,1609300,1644100,1688800,1813500,1778100,1798900,1724e3,
65771,19103,Pennsylvania,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595800,559400,519400,558200,584700,588300,559200,567300,614500,664500,677100,629200,621500,555100,532800,522700,550600,596800,549100,582100,570400,611300,628400,625300,603700,606200,666500,673800,690500,644900,632300,574500,561e3,590700,623900,677900,624800,650900,601200,583100,549800,555100,598900,629900,633700,772400,692900,716500,578300,67e4,709700,
99199,97330,Oregon,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398900,407700,432600,450200,450800,450400,460200,470700,482100,477e3,474e3,474100,478600,489700,479400,475e3,484600,485900,480100,474500,476700,499700,533600,549700,536900,528200,514600,534e3,534e3,537300,510500,493e3,501e3,
94410,84043,Utah,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307e3,313200,296400,314e3,317400,338500,330900,334700,341100,344800,341400,335e3,333900,341200,353900,345700,342400,349900,374200,379300,372200,372600,376100,361700,366700,361400,369300,367300,368500,367600,359100,360200,364400,366600,373800,383e3,368800,378500,358e3,374700,383600,400700,404200,391800,389200,394700,398500,412500,415400,413200,405900,385900,396900,402900,434800,435500,434500,429100,425700,43e4,428700,43e4,434400,435800,440200,456800,468100,476100,463300,470200,467100,467500,448600,459700,458600,
77296,44691,Ohio,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168100,180600,178200,176500,172e3,189e3,196e3,191400,185700,190900,211200,206200,210500,188100,193900,193800,206800,203500,199700,202600,249900,247400,243500,202e3,202800,197100,191100,193e3,190900,194700,200800,202400,213700,237100,239400,234900,212300,229500,231500,210500,211600,203600,209800,200100,195700,208200,203e3,229300,223500,233900,215e3,218900,212500,225100,231900,232200,224900,225200,229200,229400,228800,225e3,227200,225600,228200,231300,219500,242100,236e3,248400,238e3,246500,256100,259700,253600,245600,244e3,243900,24e4,231600,
