"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,622500,599000,599000,597000,595000,595000,577000,559000,549500,535000,525000,534000,517500,510000,550000,567000,575000,554500,550000,549500,549000,570000,565000,565000,557500,549000,525000,539000,525000,504500,499250,527000,535000,537500,550000,575000,575000,599000,587000,579000,599000,599000,599000,595000,562500,565000,560000,542000,569000,554000,597000,595000,599000,599000,599000,577500,605000,599000,625000,649000,677000,695000,677500,7e+05,725000,707500,697000,710000,705000,699997.5,697000,699497.5,699995,650000,725000,699000,699000,685000,699250,699250,699000,695000,685000,699250,695000,732000,707000,699000,739000,719000,714500,719000,699000,699000,695000,699000,699000,695000,727000,697000,710000,727000,725000,729000,725000,739000,725000,785000,795000
"10023","New York","NY","New York-Newark-Jersey City","New York County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899500,899000,925000,927000,885000,867500,870000,849000,890000,875000,890000,895000,950000,949500,984000,1095000,1075000,1095000,1095000,899000,979000,1100000,1075000,969000,948000,998000,1049500,998500,998000,998000,999000,999000
"10002","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380000,1384000,1397500,1384000,1384000,1400000,1395000,1395000,1385000,1395000,1384500,1392000,1397000,1395000,1393500
"10016","New York","NY","New York-Newark-Jersey City","New York County",4,6e+05,6e+05,599000,559000,569500,570000,560000,585000,572000,572000,575000,557500,569000,509000,544000,535000,525000,562000,575495,577495,575000,569000,567000,537000,539000,565000,550000,565000,549000,568500,575000,625000,630000,629000,635000,632000,620000,620000,604000,599000,620000,619000,620000,620000,637000,649000,654500,650000,690000,7e+05,685000,675000,682500,699000,695000,699000,725000,767000,849500,835000,859500,779000,699500,729000,739000,797000,810000,850000,895000,892000,880000,815000,827000,850000,849500,852000,822000,754500,777000,777000,737000,735000,744000,767000,775000,775000,772000,775000,777000,799000,799000,815900,763000,777000,772500,799000,833000,846000,972500,849000,855000,865000,862500,899000,9e+05,935000,962500,1125000,1087000
"11375","New York","NY","New York-Newark-Jersey City","Queens County",5,239000,231000,229000,228500,229000,225000,219000,219000,219000,215000,219000,218000,218944,213000,219000,209000,209000,209500,208944,209000,215000,215000,209000,205000,207750,209000,209000,212000,212500,218000,219000,219000,216500,215000,214900,210500,209999.5,209000,215000,215000,210000,219000,225000,220000,219084,219000,220000,218000,218500,220000,220000,225000,229000,229000,228500,229500,234344,236500,235000,239000,249000,250000,260000,259000,252000,262000,258888,250000,265000,259440,278000,279000,278500,280000,269000,275000,275000,279000,279000,279900,281950,279444,284450,289000,290000,294944,298944,299000,309000,310444,299000,298000,296000,299000,299999,305000,319000,325000,325000,325000,327000,349000,349000,349000,359000,359000,375000,375000,383500
"11235","New York","NY","New York-Newark-Jersey City","Kings County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312450,299000,299000,289000,299000,299000,265000,265000,310000,329000,299000,344000,339000,349000,369000,349000,349000,344000,349000
"10009","New York","NY","New York-Newark-Jersey City","New York County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985000,825000,795000,795000,834500,775000,799000,779000,789000,829000,910000,970000,1005000,1004500,994500,975000,980000,947500,999000,999000,1100000,1150000,1125000,1174000
"10011","New York","NY","New York-Newark-Jersey City","New York County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295000,1217000,1285000,1372500,1395000,1500000,1500000,1549000,1546995,1505000,1532490,1272500,1249500,1195995,1149950,1125000,1150000,1090000,1082500,1097500,1037500,999000,992500,980000,999000,954500,977500,899000,899000,925000,925000,899000,949000,995000,948000,898000,950000,992500,924500,962500,1095000,1125000,1137500,1120000
"10128","New York","NY","New York-Newark-Jersey City","New York County",9,597000,565000,565000,565000,549000,528000,525000,544000,539000,539000,535000,525000,525000,499500,499000,499000,495000,475000,495000,475000,499000,512500,537000,499500,499500,525000,525000,549000,549000,595000,565000,570000,570000,550000,575000,550000,550000,550000,549000,529950,547000,499000,509000,524500,522000,499000,519000,510999.5,517000,525000,525000,519000,519000,529000,534000,518500,549500,567500,560000,570000,615000,617500,620000,544000,599000,562000,549000,585000,590000,580000,549500,550000,595000,599000,595000,660000,627500,730000,795000,780000,749000,750000,750000,772500,770000,760000,780000,750000,735000,750000,750000,750000,757500,795000,797000,795000,799000,797000,750000,679000,664000,664000,669000,659000,652500,650000,649000,652500,659000
"11201","New York","NY","New York-Newark-Jersey City","Kings County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740000,707000,687000,691000,691000,699000,707000,729000,810000,805000,725000,712000,697000,679500,679000,749500,699499.5,725000,699000,749000,780000,790000,699000,675000,694000,675000,675000,695000,685000,650000,649000,665000,670000,697000,699000,799000,749000,745000,699000,745000,775000,790000,805000,857500
"20002","Washington","DC","Washington-Arlington-Alexandria","District of Columbia",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399999,399999,399900,404499.5,414450,404949.5,419900,414450,422400,414900,399999,399000,424950,389900,389900,389900,414900,417450
"20009","Washington","DC","Washington-Arlington-Alexandria","District of Columbia",12,359500,357250,366950,349900,339000,339000,339000,334250,339900,349000,349900,359000,369900,342450,345000,339000,339450,339450,337777.5,339900,339000,339900,349000,349250,349250,332400,339500,349500,357500,359000,359000,342227.5,342277.5,342500,340000,329900,334900,348000,339700,364000,364000,365450,369000,359900,350000,349500,359000,349700,354500,359900,349500,345000,349000,349500,349500,349900,375000,354500,349900,349900,349000,345000,377000,385000,399500,399900,379000,399000,399500,399000,399000,395000,397000,410000,399000,398000,374999.5,382400,399000,399555,375000,374999,374999.5,375000,359999,365000,389000,399000,375117,399000,398500,399900,399495,399900,399900,395000,395000,399825,415000,421950,419000,419000,419450,399900,391840,389900,399000,404727.5,399277.5
"10003","New York","NY","New York-Newark-Jersey City","New York County",13,699000,699000,699000,699000,699000,699000,712500,690000,685000,675000,675000,682500,695000,662500,717000,715000,695000,690000,682000,692500,699000,697000,729750,749000,737500,699000,717500,690000,695000,675000,689000,695000,695000,749000,750000,750000,730000,725000,709999.5,727000,727000,757500,798000,769000,799000,820037.5,937500,939000,985000,910000,850000,895000,895000,895000,895000,895000,895000,895000,895000,829000,848000,895000,995000,850000,822500,895000,925000,995000,972000,996750,1095000,1122500,1e+06,1087500,1e+06,995000,995000,995000,950000,920000,954500,954500,997000,999000,1025000,1095000,1095000,1050000,1050000,1050000,1050000,1077500,1100000,1149000,1138875,1138875,1175000,1212500,1225000,1225000,1225000,1175000,1198500,1195000,1196500,1250000,1292500,1250000,1299000
"10463","New York","NY","New York-Newark-Jersey City","Bronx County",14,225000,199000,199000,214000,220000,199000,199000,215000,225000,225000,229000,207000,220000,199000,199000,199000,199000,199450,195000,195000,197000,195000,190000,190000,185000,185000,189000,179000,179000,179000,180000,179000,179950,185000,189000,189450,189000,187000,189000,185000,184750,179000,179000,179000,179500,179500,179000,175000,177900,174900,174900,179000,179000,175000,182000,179450,186750,185000,177000,179000,181450,175000,174950,170000,175000,174900,175000,177000,175000,179000,179000,179000,179000,175000,175000,175000,178000,179500,179000,180000,185000,189000,189000,189500,190000,189500,185000,184092.5,185000,189700,192450,197000,199000,199450,199000,195000,195000,197450,191500,210000,214900,224900,251200,252500,235000,229900,229900,197450,187000
"11209","New York","NY","New York-Newark-Jersey City","Kings County",15,258000,253500,239900,239900,239000,239900,239900,239000,239000,239000,233500,235000,232000,229000,229000,235000,235000,229000,229000,229000,225000,220000,219000,219000,225000,225000,225000,229000,239000,239250,249000,239500,235000,229000,230000,232499.5,238750,239000,239000,239000,239000,239000,245000,245000,238000,229000,229000,225000,225000,226000,225000,225000,230000,229000,235000,229000,240000,239000,245000,245000,245000,239000,239000,245000,252450,254900,259000,256000,263500,266500,269000,269000,269000,269000,268000,285000,299000,299000,299000,320000,329500,319000,315000,325000,329000,334000,320000,329000,325000,325000,320000,325000,325000,329000,324250,325000,325000,330999,325000,339000,345000,343000,354500,377000,375000,365000,365000,350000,362000
"07030","Hoboken","NJ","New York-Newark-Jersey City","Hudson County",16,365000,363450,364950,364950,359900,359000,364950,364475,369000,369000,369000,369000,369534,369000,369000,347000,349000,349950,349000,359000,357000,349450,334500,332000,339000,339000,334000,340000,349000,339999,349000,344499.5,325000,325000,338000,350000,377450,385000,395000,395000,389000,389000,388000,388500,379000,379000,379000,375000,388500,380000,395000,399000,389000,379000,389000,399999.5,415000,425000,435000,433500,433500,433500,435000,444500,435000,435000,419000,435000,449000,469000,475000,475000,475000,474995,459000,459500,459000,459000,429000,425000,467000,499000,540000,537500,475000,510000,512500,549900,525000,522450,499000,494000,489000,537000,499000,499000,499000,499000,513354,517000,539000,538000,545000,539000,544500,549995,559000,549000,509500
"10024","New York","NY","New York-Newark-Jersey City","New York County",17,,599000,625000,627000,575000,572000,585000,650000,650000,650000,650000,649000,655000,627000,629000,624000,630000,647000,647000,650000,650000,599000,599000,582000,575000,565000,554500,559500,599000,607500,625000,625000,675000,675000,675000,679000,695000,697000,699000,699000,699000,713000,695000,695000,712000,690000,795000,763875,799000,799000,749995,739000,715000,708000,750000,755000,755000,777500,785000,785000,740000,775000,750000,750000,755000,749000,717500,749000,725000,704497.5,695000,687000,725000,744000,775000,775000,725000,772000,764000,735000,747500,749500,7e+05,699499.5,7e+05,699000,685000,699000,699000,699500,725000,797499.5,799000,775000,8e+05,799499.5,799000,795000,7e+05,795000,799000,767500,780000,795000,777500,762000,749000,787500,797499.5
"33160","Sunny Isles Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",18,149900,150000,149000,145208,148900,140000,139900,130475,134000,130000,140000,135000,137950,140000,149000,149000,159950,164950,159000,168500,165000,152000,150000,159750,163625,176000,169900,174410,185000,185000,186900,174900,169900,144700,157950,185000,189000,188630,190000,189450,179900,186500,197900,190000,190000,195000,2e+05,2e+05,216950,213900,223000,230000,239000,240000,231650,230000,226950,234894,245000,239000,243900,239000,219750,216750,230000,235000,218000,223850,225000,199900,225500,228450,230000,229000,229000,229000,229900,229900,239750,238500,229900,235000,233000,234200,236000,239500,239900,239000,235000,230000,241500,234445,235000,239000,239000,239000,248000,239000,235000,241000,240000,239000,240000,246000,245000,249000,249000,244000,245000
"10019","New York","NY","New York-Newark-Jersey City","New York County",19,725000,739500,719500,744000,744000,699000,709500,720000,739000,739750,740000,699000,698500,660000,664500,664500,658000,699000,750000,8e+05,839500,865000,865000,875000,8e+05,852500,850000,799000,829000,799500,875000,875000,812500,860000,875000,875000,870000,830000,870000,849500,850000,892000,925000,975000,975000,895000,975000,970000,1e+06,999500,1025000,1e+06,999000,1036000,1021250,1057000,1110000,1090000,1060000,1076000,1045000,1036000,1054500,1072000,1062500,1060000,1081000,1090000,1081000,1090000,1095000,1095000,1104500,1100000,1090000,1100000,1115000,1125000,1144500,1179000,1187000,1179000,1144000,1164500,1144000,1170000,1160000,1110000,1250000,1290000,1345000,1347000,1338000,1250000,1250000,1290000,1290000,1250000,1195000,1150000,1146000,1122500,1049999.5,1125000,1095000,1147499.5,1095000,1099000,1167000
"33139","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",20,249000,249000,236000,226513.5,230000,229000,229000,229999.5,230000,230000,235000,225000,229000,239000,239000,238500,244000,249000,249000,259450,264000,267000,270000,272000,264000,260000,270000,266000,269000,260000,254500,250000,269000,250000,245000,260000,283450,280000,275000,274900,269000,265000,280000,280000,280000,285000,280000,299000,299000,299000,289000,279900,295000,289000,289000,289000,295000,295000,3e+05,320000,325000,315000,299999,307500,314950,299000,305000,312500,307499.5,310000,330000,335000,329500,324900,325000,329000,329000,330000,330000,329000,327540,328000,325000,330000,328499.5,319500,319000,315000,310550,315000,309000,3e+05,309000,299500,299000,297500,290000,290000,294900,289000,289000,289000,288000,285000,285000,287500,290000,290000,290000
"60611","Chicago","IL","Chicago-Naperville-Elgin","Cook County",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330000,317000,310000,309900,309950,310000,310000,310000,310000,317000,310000,289000
"11211","New York","NY","New York-Newark-Jersey City","Kings County",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825000,815000,799000,857500,870000,875000,870000,860000,873750,877500,825000,860000,855000,850000,845000,849000,815000,822000,799999,822000,799000,815000,832000,849000,807499.5,799999,799999,795000,849000,824499.5,870000,865000,877000,872500,870000,860000,798250,797500,795012.5,740000,764500,779500,791262.5,798250,8e+05
"11215","New York","NY","New York-Newark-Jersey City","Kings County",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695000,632500,620000,639500,630000,599000,627000,655000,670000,695500,699500,725000,717500,715000,720000,715000,717500,725000,727500,730000,740000,740000
"11238","New York","NY","New York-Newark-Jersey City","Kings County",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847000,850000,857000,857000,865000,843500,850000,857000,855000,850000,855000,865000,872000,872000,882000,869500,867000,869500,867000,865000,875000,839000,778899,778899,712000,769000,750000,853500,797000,795000,749000,740000,712000,695500,695000,690000,695000,695000
"10028","New York","NY","New York-Newark-Jersey City","New York County",25,558500,558500,558500,499000,499000,545000,558500,599499.5,607499.5,617000,607000,620000,599000,554250,599475,599000,575000,592000,569000,597000,565000,595000,595000,6e+05,595000,535000,514000,535000,550000,519500,535000,549750,568000,584500,575000,571500,575000,550000,596500,620000,575000,577000,562500,550000,532000,544500,529000,475000,503000,514000,539000,541500,612500,679000,650000,650000,625000,549500,499000,534500,595000,615000,625000,607500,644000,669000,635000,649000,642000,679000,719000,679000,709500,709500,699000,7e+05,685000,699500,699500,718000,725000,721500,725000,737500,750000,787250,750000,726000,726000,725000,740000,740000,725000,688000,688000,679000,695000,699000,695000,735000,715000,717500,707000,699000,699000,695000,695000,699000,774950
"07302","Jersey City","NJ","New York-Newark-Jersey City","Hudson County",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715000,699999,645000,639747.5,639997.5,627000,634750,593944,599500,575000,529000,549000,549000
"33009","Hallandale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",27,135000,134999,121900,119900,125000,124900,125000,125000,124900,119900,119900,117000,117000,120000,119900,109900,116500,119900,124900,129000,129000,129000,129900,129900,129000,130000,134450,133450,130000,132000,129000,126900,131900,130500,137900,139450,149900,149250,150000,149450,149900,150000,160000,159950,160000,160000,165000,165000,159450,150000,158500,157500,158000,159000,159900,170000,167000,168500,170000,170000,165000,164825,155000,153950,160500,161250,169900,169900,169000,170000,175000,174900,175000,169900,168700,170000,175000,179900,182000,175000,179200,179900,179500,179250,179000,175450,179000,179900,185000,185000,190000,185000,189000,185500,184500,184000,185000,184900,179999,184000,179999,179999,179000,179900,184900,180000,180000,179000,176499.5
"92101","San Diego","CA","San Diego-Carlsbad","San Diego County",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389000,395000,380000,379900,379900,376500,375000,364500,369000,375000,371950,362000,379000,375500,375000,375000,375000,377000,375000,355000,365000,389450,394500,379000,374999,359450,379450,399000,412450,409000,399000,409000,409000,415000,429999,425000,429999,429999,439000,429950,425000,424950,434950,442000,445000,431250,429450,445000,449500,449250,457000,449900,445500,449000,445000,437000,439900,445000,439000,439000,449000,449900,448750,435000,439900,439450,439000,435450,439000
"07093","West New York","NJ","New York-Newark-Jersey City","Hudson County",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257500,254450,260000,272500,259500,250000,244500,239000,239500,249500,250000,269000,275000
"11372","New York","NY","New York-Newark-Jersey City","Queens County",30,197499.5,190000,195000,189000,189000,189000,189000,189000,189000,187000,189000,190000,190000,190000,190000,182499.5,179000,175000,177500,175000,179000,179000,179000,179000,188900,188888,189000,199000,199000,189888,196500,189000,189000,189000,185000,185000,189000,189000,189000,189000,189000,183250,185000,192000,189000,189000,189000,198000,205000,199000,205000,205000,199000,198500,189000,194000,194000,219000,229850,229000,229000,225000,227000,219000,230000,240000,239999.5,235000,241000,259000,259000,247000,250000,267250,284000,298000,309000,327000,337000,339000,343750,349000,360000,349000,340000,338944,329000,329999,329000,329000,329000,322500,325000,329000,325000,329000,329500,349000,362000,387900,395000,389000,388450,378000,389000,378888,378888,388944,410000
"33063","Margate","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",31,36995,35000,31024,35000,39000,38900,35000,34000,34500,35000,32700,29900,29900,29000,26255,25250,25250,24949.5,27000,29000,29000,28900,28900,28900,25950,26000,25000,25000,29000,28777,29000,27000,29500,29900,29900,32000,32000,34900,34450,29900,29999,35250,37250,37250,35000,35750,34950,33600,35000,40000,43500,40000,42900,43900,41950,39900,42900,42900,42900,43900,42900,43700,43450,42000,39900,39950,42000,42000,40000,42900,44750,45000,43400,42450,40000,39950,44750,45000,45000,47900,48500,51200,55950,59900,55000,55000,54900,54900,55000,55600,54950,55300,54800,54950,55300,55000,57000,59900,57500,59900,59700,61000,58000,60950,62000,62000,65000,64500,69900
"20001","Washington","DC","Washington-Arlington-Alexandria","District of Columbia",32,,,374000,384900,371450,375000,375000,385000,395000,385450,387777,385450,375000,374995,374995,364750,359900,379700,387800,399000,395000,392500,385888,379499.5,389500,387394,379000,369900,399949.5,389900,357000,367500,379000,385750,374555,369999,387447.5,387447.5,384900,389700,399000,386500,407450,399450,399000,399900,375000,387500,404950,4e+05,404900,384250,399450,399900,422450,439000,449800,450000,450000,450000,449500,449000,447000,451950,469500,449900,439000,465000,470000,477000,466950,452000,479450,469000,469000,482450,497700,487000,450000,459700,454800,494000,472400,449950,450000,489900,474000,489000,475000,475000,479000,479000,489500,475000,482000,489000,455000,499700,499900,499000,487000,499450,487500,494250,499999,493950,497800,497800,499900
"33027","Miramar","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",33,59900,62000,65000,62450,59999,57500,55450,55000,49000,47500,47500,43350,47500,48500,48500,47250,47500,53499.5,54999,54999.5,55000,56999,55000,50000,53500,49900,49500,49000,49900,53250,57500,57500,58000,54950,58850,55000,59900,64900,59900,65000,62000,59900,64750,60925,68250,62500,72500,71249.5,68900,69500,69900,69900,67250,68950,69900,78500,79497.5,79000,78000,82500,82500,79900,82000,82950,84000,84450,84900,84900,78900,78450,79000,79900,82100,83000,83000,82900,82900,82700,80000,82900,80000,85000,85000,85000,86000,87350,89900,89000,88350,88350,89500,89250,90450,90450,89900,89000,89000,93000,95000,93000,98000,98500,109999,105000,105000,111000,106000,110500,116950
"33064","Pompano Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84950,88825,88750,90000,86450,90000,93000,93000,93000,93000,92964.5,89950,89450
