"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"92130","San Diego","CA","San Diego-Carlsbad","San Diego County",92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4195,4295,4500,4500,4595,4400,4200,4325,4450,4500,4500,4500,4500,4500,4500,4600,4672.5,4447.5,4525,4600,4500,4400,4500,4500,4500
"02135","Boston","MA","Boston-Cambridge-Newton","Suffolk County",93,2600,2600,2600,2600,2550,2500,2500,2500,2550,2600,2700,2800,2700,2650,2650,2700,2750,2700,2749,2667.5,2800,2800,2800,2800,2800,2900,2974.5,2950,3000,3000,3000,3000,3000,2950,2950,2950,3000,3000,3000,3100,3170,3100,3100,3100,3200,3100,3199,3200,3200,3100,3100,3200,3200,3100,3100,3100,3090,3000,3050,3100,3200,3200,3200,3300,3300,3300,3300,3200,3200,3200,3200,3174.5,3400,3400,3400,3400,3400,3400,3400,3400,3400,3300,3375,3400,3395,3400,3400,3400,3500,3450,3400,3400,3400,3300,3300,3400,3400
"77373","Spring","TX","Houston-The Woodlands-Sugar Land","Harris County",94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1550,1459,1450,1475,1550,1600,1530,1550,1500,1550,1575,1620,1650,1625,1600,1625,1650,1625,1600,1600,1600,1600,1595,1555
"06511","New Haven","CT","New Haven-Milford","New Haven County",95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1600,1600,1650,1700,1562.5,1597.5,1650,1650,1650,1650,1595,1650,1697.5,1750,1650,1700,1900,1684,1650,1667,1625,1600,1692
"92563","Murrieta","CA","Riverside-San Bernardino-Ontario","Riverside County",96,,,,,,,1872.5,1972.5,1895,1895,1897.5,1950,1950,1897.5,1900,1900,1900,1900,1850,1850,1850,1850,1895,1895,1900,1895,1895,1895,1900,1900,1900,1900,1899.5,1900,1900,1895,1899,1895,1875,1895,1962.5,1937.5,1907.5,1950,1995,1975,1950,1950,1950,1937.5,1926.5,1998,2000,2000,2072.5,1999,1995,1995,2097.5,2000,1995,2000,2000,1995,2050,2100,2000,2100,2195,2091,2095,2095,2098,2195,2195,2197.5,2200,2150,2200,2295,2275,2272.5,2200,2185,2200,2295,2295,2325,2295,2295,2295,2395,2295,2225,2235,2295,2295
"89147","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",97,,,,,,,,,,,,,1300,1300,1300,1350,1350,1350,1350,1350,1350,1300,1300,1297.5,1300,1300,1350,1495,1450,1400,1322.5,1300,1375,1385,1395,1395,1375,1400,1400,1400,1400,1420,1432.5,1375,1450,1450,1395,1395,1467.5,1425,1400,1450,1467.5,1450,1485,1496.5,1350,1400,1400,1395,1407.5,1500,1600,1535,1495,1600,1530,1395,1465,1487.5,1399,1485,1400,1450,1500,1650,1600,1650,1650,1574,1550,1550,1595,1595,1650,1600,1695,1697.5,1672.5,1650,1700,1750,1750,1700,1700,1795,1700
"78253","San Antonio","TX","San Antonio-New Braunfels","Bexar County",98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1615,1692,1697.5,1695,1695,1787.5,1797.5,1800,1800,1750,1692,1725,1695,1697.5,1695,1695,1750,1750,1800,1750,1727.5,1695,1700,1925,1950,2290
"92562","Murrieta","CA","Riverside-San Bernardino-Ontario","Riverside County",99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2197.5,2300,2300,2225,2150,2272.5,2299.5,2200,2200,2150,2199,2300,2251,2250,2200,2250,2450,2412.5,2350,2350,2300,2337.5,2300,2282.5,2337.5
"45040","Mason","OH","Cincinnati","Warren County",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2325,2400,2375,2375,2425,2400,2300,2500,2375,2300,2225,2275
"23456","Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1985,1995,1950,2000,1950,1895,1995,1975,1895,1897.5,1900,1995,1947.5,2100,2150,2100,1997.5,1975,1950,2100,2075,2037.5,2000
