"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"89123","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699,1600,1635,1617.5,1650,1650,1675,1625,1768,1685,1700,1700,1700,1700,1700,1695,1749,1685,1850,1850,1782.5,1812.5,1795,1760,1747.5
"30253","McDonough","GA","Atlanta-Sandy Springs-Roswell","Henry County",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399,1400,1409.5,1400,1395,1450,1460,1495,1460,1445,1445,1445,1420,1425,1450,1475,1525,1550,1582.5,1565,1582.5,1595,1615,1581,1500
"75002","Allen","TX","Dallas-Fort Worth-Arlington","Collin County",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,1900,1950,1995,2000,2011.5,2000,2000,2050,1975,1950,1960,1950,1950,2000,2062.5,1995,1995,1995,2022.5,2015,1997.5,1995,2075,2062.5
"33157","Village of Palmetto Bay","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2999.5,2999,2751,3000,3100,2600,2817.5,3095,3190,2975,3000,3200,3000,2970,2995,2650,3000,3000,2795,2997.5,2580,2739
"33511","Brandon","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1649.5,1650,1637.5,1630,1650,1650,1629.5,1595,1550,1550,1650,1685,1690,1705,1725,1700,1705,1710,1700,1700,1695,1697.5,1650,1605
"94513","Brentwood","CA","San Francisco-Oakland-Hayward","Contra Costa County",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495,2400,2495,2500,2497.5,2450,2400,2400,2375,2400,2400,2400,2550,2695,2625,2600,2600,2695,2650,2580,2597.5,2500,2500,2595,2795,2725,2725,2738.5,2700,2600,2697.5,2700,2695,2700
"60637","Chicago","IL","Chicago-Naperville-Elgin","Cook County",78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275,1325,1300,1300,1300,1300,1250,1250,1250,1300,1335,1347.5,1296,1250,1300,1350,1337.5,1300,1325,1350,1300,1300,1300,1350,1350,1350
"10031","New York","NY","New York-Newark-Jersey City","New York County",79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,3450,3400,3400,3500,3484,3500,3447.5,3500,3400,3295,3345.5,3395,3500,3395,3497.5,3600,3595,3595,3745,3595,3529,3400,3395,3500
"77346","Atascocita","TX","Houston-The Woodlands-Sugar Land","Harris County",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1700,1637.5,1600,1625,1650,1700,1775,1697.5,1700,1744.5,1714.5,1700,1762.5,1795,1800,1762.5,1750,1775,1767,1799.5,1775,1754.5,1775,1750,1787,1824.5,1995,1825,1729,1727,1800,1750,1725,1719,1625,1790,1799.5,1792,1795,1795,1812.5,1795,1795,1750,1750,1750,1750,1795,1782.5,1850,1940,1900,1890,1850,1850,1750,1695,1695,1765,1750
"92620","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange County",81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,4000,4100,4100,4000,4295,4100,4000,4050,4050,4095,4200,4000,4100,4000,4100,4300,4200,4145,4200,4200,4190,4200,4200,4200
"89148","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",82,,,,,,,,,,,,,1520,1495,1495,1450,1445,1495,1400,1395,1400,1395,1350,1350,1350,1350,1395,1495,1500,1475,1475,1450,1472.5,1450,1395,1400,1400,1450,1450,1450,1500,1522.5,1450,1500,1500,1450,1450,1462.5,1495,1450,1450,1499,1450,1400,1500,1595,1495,1495,1535,1500,1595,1595,1550,1495,1550,1550,1500,1450,1497,1495,1572.5,1500,1575,1632.5,1625,1650,1650,1600,1650,1695,1650,1650,1650,1650,1650,1662.5,1695,1695,1700,1750,1795,1685,1650,1695,1697.5,1797.5,1750
"78254","San Antonio","TX","San Antonio-New Braunfels","Bexar County",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512.5,1650,1695,1650,1650,1612.5,1597.5,1650,1725,1650,1600,1575,1622.5,1595,1600,1650,1695,1650,1650,1625,1672.5,1697.5,1825,1700,1700
"89074","Henderson","NV","Las Vegas-Henderson-Paradise","Clark County",84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1637.5,1650,1525,1695,1587.5,1724.5,1750,1750,1725,1700,1750,1795,1799.5,1600,1600,1750,1795,1795,1795,1760,1995,1872.5,1795,1900,1885,1849,1937.5,1872.5,1895,1800
"96706","Ewa Beach","HI","Urban Honolulu","Honolulu County",84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3200,3287.5,3350,3300,3275,3300,3225,3195,3000,3000,3050,3200,2950,3200,3200,3300,3425,3287.5,3300,3500,3100,3000,3000,2865
"77375","Tomball","TX","Houston-The Woodlands-Sugar Land","Harris County",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1662.5,1675,1675,1800,1950,1997.5,1872.5,1850,1800,1850,1800,1850,1875,1900,1975,2000,1997.5,1972.5,2100,1900,1900,1845,1795,1775,1850
"33414","Wellington","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2540,2565,2700,2690,2670,2605,2800,3000,3000,2800,2687.5,2625
"19104","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,2400,2400,2450,2400,2270,2400,2300,2200,2400,2450,2500,2450,2500,2500,2500,2500,2425,2400,2400,2500,2600,2500,2525
"30101","Acworth","GA","Atlanta-Sandy Springs-Roswell","Cobb County",89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597,1550,1637,1599.5,1599,1595,1625,1610,1620,1637.5,1600,1595,1625,1697.5,1696,1695,1650,1695,1700,1800,1665,1732.5,1695,1757,1750
"75070","McKinney","TX","Dallas-Fort Worth-Arlington","Collin County",90,,,1597.5,1662.5,1650,1600,1670,1650,1750,1722.5,1650,1650,1650,1700,1650,1797.5,1700,1700,1750,1795,1700,1725,1750,1775,1850,1795,1750,1750,1797.5,1750,1795,1795,1795,1750,1750,1750,1725,1750,1750,1795,1825,1800,1800,1850,1800,1800,1800,1800,1825,1800,1850,1845,1895,1900,1895,1850,1895,1885,1875,1895,1850,1812.5,1850,1900,1995,1995,2000,1973,1997.5,1972.5,1950,1950,1900,1900,1995,1995,1995,1966,1900,1995,1988.5,1900,1900,1900,1900,1962.5,1995,2057.5,2095,2100,2070,1995,1980,2073,2182,2200,2095
"77070","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647,1625,1795,1700,1747.5,1700,1700,1700,1695,1750,1700,1750,1797.5,1800,1750,1700,1775,1800,1900,1825,1750,1750,1750,1762.5
