"","Latitude","Longitude","Location"
"4020783",41.884396735,-87.749454281,"(41.884396735, -87.749454281)"
"4020863",41.810696214,-87.619630513,"(41.810696214, -87.619630513)"
"4021338",41.7895024,-87.790256321,"(41.7895024, -87.790256321)"
"4021492",41.709225387,-87.608173849,"(41.709225387, -87.608173849)"
"4021623",41.814082297,-87.621342708,"(41.814082297, -87.621342708)"
"4021750",41.885005932,-87.728244429,"(41.885005932, -87.728244429)"
"4022137",41.794965928,-87.605620246,"(41.794965928, -87.605620246)"
"4022232",41.769099389,-87.569849059,"(41.769099389, -87.569849059)"
"4022581",41.785422691,-87.700885883,"(41.785422691, -87.700885883)"
"4023087",41.895979997,-87.672931947,"(41.895979997, -87.672931947)"
"4023272",41.689444214,-87.535281536,"(41.689444214, -87.535281536)"
"4023687",41.955182578,-87.710507865,"(41.955182578, -87.710507865)"
"4024000",41.781366337,-87.622005393,"(41.781366337, -87.622005393)"
"4024011",41.762064717,-87.568865843,"(41.762064717, -87.568865843)"
"4024091",41.869287141,-87.664938606,"(41.869287141, -87.664938606)"
"4024145",41.88533617,-87.738931657,"(41.88533617, -87.738931657)"
"4024168",41.932091792,-87.768703219,"(41.932091792, -87.768703219)"
"4024188",41.891672925,-87.648339489,"(41.891672925, -87.648339489)"
"4024244",41.888658426,-87.748890295,"(41.888658426, -87.748890295)"
"4024506",41.801609105,-87.617736187,"(41.801609105, -87.617736187)"
"4024749",41.95630943,-87.787982151,"(41.95630943, -87.787982151)"
"4024767",41.693890503,-87.720438617,"(41.693890503, -87.720438617)"
"4024946",41.791300921,-87.677868897,"(41.791300921, -87.677868897)"
"4025287",41.757630995,-87.585708249,"(41.757630995, -87.585708249)"
"4025446",41.851430749,-87.724754706,"(41.851430749, -87.724754706)"
"4025585",41.946648476,-87.70454039,"(41.946648476, -87.70454039)"
"4026317",41.734209915,-87.646633525,"(41.734209915, -87.646633525)"
"4026373",41.8744162,-87.638591667,"(41.8744162, -87.638591667)"
"4026398",41.805154887,-87.603803096,"(41.805154887, -87.603803096)"
"4026732",41.954881682,-87.669066936,"(41.954881682, -87.669066936)"
"4026855",41.893323022,-87.753097265,"(41.893323022, -87.753097265)"
"4027296",41.765444001,-87.626906181,"(41.765444001, -87.626906181)"
"4027850",41.972326185,-87.65771014,"(41.972326185, -87.65771014)"
"4027855",41.913568812,-87.626546346,"(41.913568812, -87.626546346)"
"4027943",41.658712528,-87.549545115,"(41.658712528, -87.549545115)"
"4028088",41.849530941,-87.70273596,"(41.849530941, -87.70273596)"
"4028140",41.917523804,-87.693076166,"(41.917523804, -87.693076166)"
"4028176",41.760644908,-87.67221024,"(41.760644908, -87.67221024)"
"4028396",41.809297059,-87.591967028,"(41.809297059, -87.591967028)"
"4028609",41.965548846,-87.640356486,"(41.965548846, -87.640356486)"
"4028677",41.942963116,-87.649360288,"(41.942963116, -87.649360288)"
"4028786",41.809936059,-87.627180516,"(41.809936059, -87.627180516)"
"4028885",41.965839588,-87.663919288,"(41.965839588, -87.663919288)"
"4028926",41.918431595,-87.690032129,"(41.918431595, -87.690032129)"
"4028959",41.871025414,-87.699510379,"(41.871025414, -87.699510379)"
"4029274",41.932514672,-87.698857873,"(41.932514672, -87.698857873)"
"4029406",41.980874051,-87.659992014,"(41.980874051, -87.659992014)"
"4029630",41.82603919,-87.623132795,"(41.82603919, -87.623132795)"
"4029675",NA,NA,""
"4029918",41.750466105,-87.622980632,"(41.750466105, -87.622980632)"
"4029950",41.910172065,-87.702506848,"(41.910172065, -87.702506848)"
"4030016",41.936913947,-87.693470309,"(41.936913947, -87.693470309)"
"4030230",41.852901521,-87.628275435,"(41.852901521, -87.628275435)"
"4030253",41.806215499,-87.66490503,"(41.806215499, -87.66490503)"
"4030325",41.785685322,-87.616622615,"(41.785685322, -87.616622615)"
"4030389",41.899853359,-87.723777218,"(41.899853359, -87.723777218)"
"4030451",41.841885745,-87.729348139,"(41.841885745, -87.729348139)"
"4030650",41.77766302,-87.782088826,"(41.77766302, -87.782088826)"
"4030687",41.76820326,-87.634738833,"(41.76820326, -87.634738833)"
"4030794",41.912888842,-87.708527456,"(41.912888842, -87.708527456)"
"4030852",41.74748666,-87.671854213,"(41.74748666, -87.671854213)"
"4031218",41.742487363,-87.672953498,"(41.742487363, -87.672953498)"
"4031361",41.733646712,-87.652061851,"(41.733646712, -87.652061851)"
"4031606",41.774214482,-87.5903182,"(41.774214482, -87.5903182)"
"4032149",41.750617568,-87.581655862,"(41.750617568, -87.581655862)"
"4032394",41.923140598,-87.761039837,"(41.923140598, -87.761039837)"
"4032523",41.721627204,-87.624485177,"(41.721627204, -87.624485177)"
"4032609",41.772525074,-87.641466606,"(41.772525074, -87.641466606)"
"4032649",41.899811237,-87.689410946,"(41.899811237, -87.689410946)"
"4032865",41.920957691,-87.715779245,"(41.920957691, -87.715779245)"
"4032926",41.92438931,-87.734685216,"(41.92438931, -87.734685216)"
"4033229",41.771736814,-87.698384554,"(41.771736814, -87.698384554)"
"4033441",41.890013254,-87.631620927,"(41.890013254, -87.631620927)"
"4033693",41.772488047,-87.611802201,"(41.772488047, -87.611802201)"
"4033707",41.850723463,-87.729573323,"(41.850723463, -87.729573323)"
"4033981",41.856838746,-87.662036196,"(41.856838746, -87.662036196)"
"4034059",41.955365785,-87.683649901,"(41.955365785, -87.683649901)"
"4034360",41.697958905,-87.630984694,"(41.697958905, -87.630984694)"
"4034502",41.922135992,-87.682671639,"(41.922135992, -87.682671639)"
"4034599",41.900928241,-87.631361849,"(41.900928241, -87.631361849)"
"4034616",41.981276167,-87.702272591,"(41.981276167, -87.702272591)"
"4034805",41.883375237,-87.629427772,"(41.883375237, -87.629427772)"
"4035098",41.786605854,-87.619017747,"(41.786605854, -87.619017747)"
"4035214",41.885487535,-87.726422045,"(41.885487535, -87.726422045)"
"4035268",41.938003155,-87.65984043,"(41.938003155, -87.65984043)"
"4035325",41.891140862,-87.651621241,"(41.891140862, -87.651621241)"
"4035457",41.811171605,-87.691847434,"(41.811171605, -87.691847434)"
"4035484",41.800795192,-87.729253712,"(41.800795192, -87.729253712)"
"4035643",41.899989717,-87.625105604,"(41.899989717, -87.625105604)"
"4035681",41.874503125,-87.764650028,"(41.874503125, -87.764650028)"
"4035884",41.834821751,-87.704751817,"(41.834821751, -87.704751817)"
"4035908",41.912585094,-87.727638664,"(41.912585094, -87.727638664)"
"4036089",41.94345324,-87.693930558,"(41.94345324, -87.693930558)"
"4036097",41.88477741,-87.637058225,"(41.88477741, -87.637058225)"
"4036142",41.803261425,-87.745482148,"(41.803261425, -87.745482148)"
"4036207",41.975276551,-87.767391513,"(41.975276551, -87.767391513)"
"4036542",41.779013043,-87.615597022,"(41.779013043, -87.615597022)"
"4036658",41.730169475,-87.589203041,"(41.730169475, -87.589203041)"
