"","x"
"356","2001-06"
"357","2001-06"
"358","2001-06"
"359","2001-06"
"360","2001-06"
"361","2001-06"
"362","2001-06"
"363","2001-06"
"364","2001-06"
"365","2001-06"
"366","2001-06"
"367","2001-06"
"368","2001-06"
"369","2001-06"
"370","2001-06"
"371","2001-06"
"372","2001-06"
"373","2001-06"
"374","2001-06"
"375","2001-06"
"376","2001-06"
"377","2001-06"
"378","2001-06"
"379","2001-06"
"380","2001-06"
"381","2001-06"
"382","2001-06"
"383","2001-06"
"384","2001-06"
"385","2001-06"
"386","2001-06"
"387","2001-06"
"388","2001-06"
"389","2001-06"
"390","2001-06"
"391","2001-06"
"392","2001-06"
"393","2001-06"
"394","2001-06"
"395","2001-06"
"396","2001-06"
"397","2001-06"
"398","2001-06"
"399","2001-06"
"400","2001-06"
"401","2001-06"
"402","2001-06"
"403","2001-06"
"404","2001-06"
"405","2001-06"
"406","2001-06"
"407","2001-07"
"408","2001-07"
"409","2001-07"
"410","2001-07"
"411","2001-07"
"412","2001-07"
"413","2001-07"
"414","2001-07"
"415","2001-07"
"416","2001-07"
"417","2001-07"
"418","2001-07"
"419","2001-07"
"420","2001-07"
"421","2001-07"
"422","2001-07"
"423","2001-07"
"424","2001-07"
"425","2001-07"
"426","2001-07"
"427","2001-07"
"428","2001-07"
"429","2001-07"
"430","2001-07"
"431","2001-07"
"432","2001-07"
"433","2001-07"
"434","2001-07"
"435","2001-07"
"436","2001-07"
"437","2001-07"
"438","2001-07"
"439","2001-07"
"440","2001-07"
"441","2001-07"
"442","2001-07"
"443","2001-07"
"444","2001-07"
"445","2001-07"
"446","2001-07"
"447","2001-07"
"448","2001-07"
"449","2001-07"
"450","2001-07"
"451","2001-07"
"452","2001-07"
"453","2018-02"
"454","2001-07"
"455","2001-07"
"456","2001-07"
"457","2001-07"
"458","2001-07"
"459","2001-07"
"460","2001-07"
"461","2001-07"
"462","2001-07"
"463","2001-07"
"464","2001-07"
"465","2018-02"
"466","2001-07"
"467","2001-07"
"468","2001-07"
"469","2001-07"
"470","2001-07"
"471","2001-07"
"472","2001-07"
"473","2001-07"
"474","2001-07"
"475","2001-07"
"476","2001-07"
"477","2001-07"
"478","2001-07"
"479","2001-07"
"480","2001-07"
"481","2001-07"
"482","2001-07"
"483","2001-07"
"484","2001-07"
"485","2001-07"
"486","2001-08"
"487","2001-08"
"488","2001-08"
"489","2001-08"
"490","2001-08"
"491","2001-08"
"492","2018-02"
"493","2018-02"
"494","2001-08"
"495","2001-08"
"496","2001-08"
"497","2001-08"
"498","2001-08"
"499","2001-08"
"500","2015-11"
"501","2018-02"
"502","2018-02"
"503","2017-07"
"504","2018-04"
"505","2018-02"
"506","2018-01"
"507","2018-04"
"508","2017-11"
"509","2018-04"
"510","2018-02"
"511","2018-02"
"512","2018-02"
"513","2018-02"
