"","Latitude","Longitude","Location"
"15",41.916526412,-87.659294712,"(41.916526412, -87.659294712)"
"678",41.647925582,-87.616117235,"(41.647925582, -87.616117235)"
"703",41.888850382,-87.750482453,"(41.888850382, -87.750482453)"
"774",41.709943929,-87.628385801,"(41.709943929, -87.628385801)"
"819",41.755633717,-87.644173224,"(41.755633717, -87.644173224)"
"1582",41.890300993,-87.763386087,"(41.890300993, -87.763386087)"
"2308",41.880560303,-87.641730873,"(41.880560303, -87.641730873)"
"2939",41.853956955,-87.67958241,"(41.853956955, -87.67958241)"
"2940",41.85406784,-87.671630758,"(41.85406784, -87.671630758)"
"2959",41.854098358,-87.669310622,"(41.854098358, -87.669310622)"
"2978",41.796999095,-87.715184746,"(41.796999095, -87.715184746)"
"3030",41.772859668,-87.571593454,"(41.772859668, -87.571593454)"
"4725",41.7958027,-87.672322117,"(41.7958027, -87.672322117)"
"4726",41.795802173,-87.67223044,"(41.795802173, -87.67223044)"
"6660",41.692833841,-87.60431945,"(41.692833841, -87.60431945)"
"7024",41.693473159,-87.624926195,"(41.693473159, -87.624926195)"
"7033",41.844497231,-87.706613261,"(41.844497231, -87.706613261)"
"7361",41.890537043,-87.763395007,"(41.890537043, -87.763395007)"
"7764",41.746014022,-87.67971123,"(41.746014022, -87.67971123)"
"8462",41.854247085,-87.642418194,"(41.854247085, -87.642418194)"
"8599",41.916380972,-87.747322071,"(41.916380972, -87.747322071)"
"8740",41.872557314,-87.72395953,"(41.872557314, -87.72395953)"
"9389",41.89381431,-87.763523806,"(41.89381431, -87.763523806)"
"9831",41.928679587,-87.724447312,"(41.928679587, -87.724447312)"
"10608",41.683938235,-87.721741177,"(41.683938235, -87.721741177)"
"10819",41.85982778,-87.716448529,"(41.85982778, -87.716448529)"
"13198",41.725293726,-87.572990797,"(41.725293726, -87.572990797)"
"13925",41.690759584,-87.624128515,"(41.690759584, -87.624128515)"
"14077",41.684036765,-87.639091294,"(41.684036765, -87.639091294)"
"15245",41.875041173,-87.743466273,"(41.875041173, -87.743466273)"
"15757",41.932830768,-87.707450839,"(41.932830768, -87.707450839)"
"15877",41.897131806,-87.767905678,"(41.897131806, -87.767905678)"
"16958",41.685157985,-87.635718461,"(41.685157985, -87.635718461)"
