"","Latitude","Longitude","Location"
"62",41.743769914,-87.555180539,"(41.743769914, -87.555180539)"
"175",41.7118814,-87.598592213,"(41.7118814, -87.598592213)"
"227",41.779503192,-87.662179772,"(41.779503192, -87.662179772)"
"396",41.869830304,-87.723588908,"(41.869830304, -87.723588908)"
"639",41.78330612,-87.738778644,"(41.78330612, -87.738778644)"
"844",41.833224596,-87.675353441,"(41.833224596, -87.675353441)"
"904",41.777693478,-87.61435055,"(41.777693478, -87.61435055)"
"1317",41.707544909,-87.56208506,"(41.707544909, -87.56208506)"
"1578",41.975979588,-87.845214419,"(41.975979588, -87.845214419)"
"1645",NA,NA,""
"1832",41.858276581,-87.718878854,"(41.858276581, -87.718878854)"
"1894",41.976500668,-87.770782484,"(41.976500668, -87.770782484)"
"2406",41.753509097,-87.636803923,"(41.753509097, -87.636803923)"
"2578",41.897720134,-87.748932564,"(41.897720134, -87.748932564)"
"2677",41.896772914,-87.621464432,"(41.896772914, -87.621464432)"
"2812",41.882864085,-87.699507229,"(41.882864085, -87.699507229)"
"3369",41.87851302,-87.766424778,"(41.87851302, -87.766424778)"
"3442",41.704596398,-87.64762621,"(41.704596398, -87.64762621)"
"3517",41.88283799,-87.702243313,"(41.88283799, -87.702243313)"
"3522",41.758154191,-87.562718202,"(41.758154191, -87.562718202)"
"3534",41.895470438,-87.715492263,"(41.895470438, -87.715492263)"
"3571",41.682523481,-87.624515489,"(41.682523481, -87.624515489)"
"3582",41.984253748,-87.711346419,"(41.984253748, -87.711346419)"
"3908",41.901658074,-87.732440134,"(41.901658074, -87.732440134)"
"4210",41.67986213,-87.621956595,"(41.67986213, -87.621956595)"
"4243",41.867129849,-87.720989552,"(41.867129849, -87.720989552)"
"4382",41.791769633,-87.662088497,"(41.791769633, -87.662088497)"
"4420",41.977993461,-87.78783028,"(41.977993461, -87.78783028)"
"4426",41.921021491,-87.69730355,"(41.921021491, -87.69730355)"
"4496",41.693992782,-87.657434454,"(41.693992782, -87.657434454)"
"4762",41.728121719,-87.657989027,"(41.728121719, -87.657989027)"
"4944",41.898526348,-87.762453436,"(41.898526348, -87.762453436)"
"5136",41.834828981,-87.653503477,"(41.834828981, -87.653503477)"
"5327",41.790873903,-87.709611091,"(41.790873903, -87.709611091)"
"5390",41.852557609,-87.723525411,"(41.852557609, -87.723525411)"
"6071",41.852827014,-87.72103423,"(41.852827014, -87.72103423)"
"6143",41.787449357,-87.682462296,"(41.787449357, -87.682462296)"
"6168",41.877300531,-87.708848526,"(41.877300531, -87.708848526)"
"6179",41.765185884,-87.601884473,"(41.765185884, -87.601884473)"
"6188",42.003585275,-87.665679761,"(42.003585275, -87.665679761)"
"6384",41.954881682,-87.669066936,"(41.954881682, -87.669066936)"
"6543",41.836982572,-87.718642232,"(41.836982572, -87.718642232)"
"6550",41.781222179,-87.730159743,"(41.781222179, -87.730159743)"
"6678",42.00883009,-87.684945901,"(42.00883009, -87.684945901)"
"6725",41.770699199,-87.742044039,"(41.770699199, -87.742044039)"
"6793",41.921238102,-87.716893575,"(41.921238102, -87.716893575)"
