"","Latitude","Longitude","Location"
"2002494",41.874974798,-87.725475051,"(41.874974798, -87.725475051)"
"2002511",41.923314779,-87.725512504,"(41.923314779, -87.725512504)"
"2002538",41.95566387,-87.713745789,"(41.95566387, -87.713745789)"
"2002560",41.894824927,-87.631788635,"(41.894824927, -87.631788635)"
"2002584",41.969754969,-87.755772499,"(41.969754969, -87.755772499)"
"2002608",41.765316099,-87.611625977,"(41.765316099, -87.611625977)"
"2002634",41.766298808,-87.570050881,"(41.766298808, -87.570050881)"
"2002654",41.773255332,-87.680915794,"(41.773255332, -87.680915794)"
"2002670",41.695439011,-87.634036561,"(41.695439011, -87.634036561)"
"2002684",41.906406622,-87.763320005,"(41.906406622, -87.763320005)"
"2002685",41.768072278,-87.651767393,"(41.768072278, -87.651767393)"
"2002704",41.943378528,-87.7199738,"(41.943378528, -87.7199738)"
"2002722",41.777615976,-87.615561272,"(41.777615976, -87.615561272)"
"2002747",41.876988081,-87.733637005,"(41.876988081, -87.733637005)"
"2002761",41.772022709,-87.638711569,"(41.772022709, -87.638711569)"
"2002777",41.852678917,-87.712362191,"(41.852678917, -87.712362191)"
"2002794",41.917767487,-87.753401303,"(41.917767487, -87.753401303)"
"2002814",41.831591357,-87.652216784,"(41.831591357, -87.652216784)"
"2002828",41.759162013,-87.683100073,"(41.759162013, -87.683100073)"
"2002851",41.67895423,-87.625144019,"(41.67895423, -87.625144019)"
"2002874",36.619446395,-91.686565684,"(36.619446395, -91.686565684)"
"2002876",41.710418768,-87.608980816,"(41.710418768, -87.608980816)"
"2002899",41.763481273,-87.566470168,"(41.763481273, -87.566470168)"
"2002918",41.83398041,-87.640089605,"(41.83398041, -87.640089605)"
"2002942",41.877286769,-87.75495347,"(41.877286769, -87.75495347)"
"2002962",41.877286769,-87.75495347,"(41.877286769, -87.75495347)"
"2002982",41.760948626,-87.630899336,"(41.760948626, -87.630899336)"
"2003003",41.809763953,-87.671081853,"(41.809763953, -87.671081853)"
"2003026",41.792861243,-87.676701528,"(41.792861243, -87.676701528)"
"2003039",41.752812742,-87.566252678,"(41.752812742, -87.566252678)"
"2003063",41.860026059,-87.723773831,"(41.860026059, -87.723773831)"
"2003087",41.901650581,-87.729964379,"(41.901650581, -87.729964379)"
"2003088",41.751355924,-87.598647957,"(41.751355924, -87.598647957)"
"2003112",41.912661277,-87.766199855,"(41.912661277, -87.766199855)"
"2003133",41.886467974,-87.755289326,"(41.886467974, -87.755289326)"
"2003155",41.777740745,-87.631760999,"(41.777740745, -87.631760999)"
"2003170",41.789742498,-87.660833554,"(41.789742498, -87.660833554)"
"2003191",41.786258374,-87.702641369,"(41.786258374, -87.702641369)"
"2003209",41.816776477,-87.687139881,"(41.816776477, -87.687139881)"
"2003226",41.759011495,-87.564518539,"(41.759011495, -87.564518539)"
"2003242",41.659135983,-87.609072738,"(41.659135983, -87.609072738)"
"2003259",41.659135983,-87.609072738,"(41.659135983, -87.609072738)"
"2003283",41.751750447,-87.650133356,"(41.751750447, -87.650133356)"
"2003284",41.659135983,-87.609072738,"(41.659135983, -87.609072738)"
"2003335",41.77900248,-87.701146952,"(41.77900248, -87.701146952)"
"2003358",41.973709731,-87.668128481,"(41.973709731, -87.668128481)"
"2003397",41.733596793,-87.638682432,"(41.733596793, -87.638682432)"
"2003417",41.864186063,-87.70437984,"(41.864186063, -87.70437984)"
"2003434",41.888658426,-87.748890295,"(41.888658426, -87.748890295)"
"2003455",41.736508334,-87.614121283,"(41.736508334, -87.614121283)"
"2003471",41.736508334,-87.614121283,"(41.736508334, -87.614121283)"
"2003491",41.702997566,-87.62340447,"(41.702997566, -87.62340447)"
"2003492",41.736508334,-87.614121283,"(41.736508334, -87.614121283)"
"2003512",41.886448149,-87.763401971,"(41.886448149, -87.763401971)"
"2003531",41.811772474,-87.666288856,"(41.811772474, -87.666288856)"
"2003554",41.902674603,-87.66747411,"(41.902674603, -87.66747411)"
"2003571",41.772206333,-87.663157662,"(41.772206333, -87.663157662)"
"2003590",41.763900132,-87.672294119,"(41.763900132, -87.672294119)"
"2003605",41.822199933,-87.602134797,"(41.822199933, -87.602134797)"
"2003626",41.877169004,-87.719061434,"(41.877169004, -87.719061434)"
"2003640",41.688888563,-87.628242277,"(41.688888563, -87.628242277)"
"2003657",41.741304411,-87.659690327,"(41.741304411, -87.659690327)"
"2003677",41.745210123,-87.600161796,"(41.745210123, -87.600161796)"
"2003678",41.79196818,-87.629240627,"(41.79196818, -87.629240627)"
"2003695",41.730307671,-87.643454831,"(41.730307671, -87.643454831)"
"2003712",41.781553183,-87.613233162,"(41.781553183, -87.613233162)"
"2003741",41.855390852,-87.678382179,"(41.855390852, -87.678382179)"
"2003761",41.793702667,-87.693041121,"(41.793702667, -87.693041121)"
"2003790",41.681445352,-87.638511462,"(41.681445352, -87.638511462)"
"2003816",41.717051365,-87.638237958,"(41.717051365, -87.638237958)"
"2003837",41.819106567,-87.697007016,"(41.819106567, -87.697007016)"
"2003854",41.773464849,-87.665322166,"(41.773464849, -87.665322166)"
"2003872",41.815783814,-87.628026048,"(41.815783814, -87.628026048)"
"2003903",41.896808493,-87.749363277,"(41.896808493, -87.749363277)"
"2003904",41.764938517,-87.661591151,"(41.764938517, -87.661591151)"
"2003932",41.869791259,-87.684898977,"(41.869791259, -87.684898977)"
"2003971",41.759947729,-87.66365908,"(41.759947729, -87.66365908)"
"2003990",41.736736579,-87.667945225,"(41.736736579, -87.667945225)"
"2004006",41.800150999,-87.709869551,"(41.800150999, -87.709869551)"
"2004027",41.780701922,-87.673936459,"(41.780701922, -87.673936459)"
"2004049",41.888658426,-87.748890295,"(41.888658426, -87.748890295)"
"2004065",41.9143833,-87.763708292,"(41.9143833, -87.763708292)"
"2004079",41.814871498,-87.689503114,"(41.814871498, -87.689503114)"
"2004107",41.845537336,-87.711161395,"(41.845537336, -87.711161395)"
"2004108",41.692197539,-87.655494409,"(41.692197539, -87.655494409)"
"2004124",41.781691798,-87.610833743,"(41.781691798, -87.610833743)"
"2004161",41.968165433,-87.657618053,"(41.968165433, -87.657618053)"
"2004185",41.934262479,-87.714904846,"(41.934262479, -87.714904846)"
"2004223",41.689408345,-87.651159512,"(41.689408345, -87.651159512)"
"2004241",41.774215266,-87.610661035,"(41.774215266, -87.610661035)"
"2004304",41.77204147,-87.676426344,"(41.77204147, -87.676426344)"
"2004472",41.895443218,-87.718089317,"(41.895443218, -87.718089317)"
"2004491",41.838251375,-87.630751846,"(41.838251375, -87.630751846)"
"2004516",41.795039369,-87.695055796,"(41.795039369, -87.695055796)"
"2004535",42.021777267,-87.666762834,"(42.021777267, -87.666762834)"
"2004588",41.73607625,-87.601324547,"(41.73607625, -87.601324547)"
"2004610",41.761286569,-87.606693651,"(41.761286569, -87.606693651)"
"2004630",41.955187582,-87.712952623,"(41.955187582, -87.712952623)"
"2004645",41.961195991,-87.706629167,"(41.961195991, -87.706629167)"
"2004663",41.877014858,-87.731411572,"(41.877014858, -87.731411572)"
"2004678",41.878802616,-87.731126737,"(41.878802616, -87.731126737)"
"2004701",41.803263436,-87.655671106,"(41.803263436, -87.655671106)"
"2004702",41.777907183,-87.600398086,"(41.777907183, -87.600398086)"
"2004720",41.685242809,-87.629376718,"(41.685242809, -87.629376718)"
"2004743",41.771648897,-87.574830096,"(41.771648897, -87.574830096)"
"2004792",41.882764746,-87.763276799,"(41.882764746, -87.763276799)"
"2004820",41.745027159,-87.585821509,"(41.745027159, -87.585821509)"
"2004846",41.779376229,-87.669612762,"(41.779376229, -87.669612762)"
"2004869",41.873737392,-87.745020388,"(41.873737392, -87.745020388)"
"2004896",41.816039143,-87.626258734,"(41.816039143, -87.626258734)"
"2004914",41.887443597,-87.651028879,"(41.887443597, -87.651028879)"
"2004940",41.855718806,-87.684428141,"(41.855718806, -87.684428141)"
"2004941",41.887443597,-87.651028879,"(41.887443597, -87.651028879)"
"2004965",41.824320533,-87.709991008,"(41.824320533, -87.709991008)"
"2004989",41.774069965,-87.644639452,"(41.774069965, -87.644639452)"
"2005012",41.774069965,-87.644639452,"(41.774069965, -87.644639452)"
"2005022",41.774994732,-87.694503027,"(41.774994732, -87.694503027)"
"2005067",41.703787141,-87.605294344,"(41.703787141, -87.605294344)"
"2005079",41.802476525,-87.646546942,"(41.802476525, -87.646546942)"
"2005102",41.902451022,-87.775378157,"(41.902451022, -87.775378157)"
"2005126",41.859809525,-87.705483628,"(41.859809525, -87.705483628)"
"2005149",41.756512772,-87.552911904,"(41.756512772, -87.552911904)"
"2005150",41.784438299,-87.649760778,"(41.784438299, -87.649760778)"
"2005167",41.81326188,-87.669952677,"(41.81326188, -87.669952677)"
"2005188",41.784509877,-87.646119056,"(41.784509877, -87.646119056)"
"2005234",41.968479866,-87.705259739,"(41.968479866, -87.705259739)"
"2005256",41.75356945,-87.56450286,"(41.75356945, -87.56450286)"
"2005272",41.773189519,-87.671329907,"(41.773189519, -87.671329907)"
"2005290",41.699577165,-87.608304224,"(41.699577165, -87.608304224)"
"2005309",41.900017263,-87.726225708,"(41.900017263, -87.726225708)"
"2005330",41.764671452,-87.684844209,"(41.764671452, -87.684844209)"
"2005354",41.905161862,-87.765762957,"(41.905161862, -87.765762957)"
"2005355",41.789856574,-87.662038784,"(41.789856574, -87.662038784)"
"2005377",41.879294275,-87.741238618,"(41.879294275, -87.741238618)"
"2005392",42.001682746,-87.67313138,"(42.001682746, -87.67313138)"
"2005410",41.879629789,-87.736605042,"(41.879629789, -87.736605042)"
"2005426",41.93999607,-87.727949036,"(41.93999607, -87.727949036)"
"2005444",41.897299216,-87.767907874,"(41.897299216, -87.767907874)"
"2005460",41.791565336,-87.663289748,"(41.791565336, -87.663289748)"
"2005480",41.769185486,-87.625732415,"(41.769185486, -87.625732415)"
"2005502",41.849546197,-87.701517256,"(41.849546197, -87.701517256)"
"2005521",41.78969544,-87.648685524,"(41.78969544, -87.648685524)"
"2005538",41.802446366,-87.648850549,"(41.802446366, -87.648850549)"
"2005560",41.92146429,-87.752379397,"(41.92146429, -87.752379397)"
"2005597",41.870228606,-87.7479237,"(41.870228606, -87.7479237)"
"2005614",41.74061243,-87.646180582,"(41.74061243, -87.646180582)"
"2005635",41.948707142,-87.646666855,"(41.948707142, -87.646666855)"
"2005659",41.787645257,-87.692412039,"(41.787645257, -87.692412039)"
"2005680",41.756906514,-87.590363943,"(41.756906514, -87.590363943)"
"2005705",41.77857777,-87.729322944,"(41.77857777, -87.729322944)"
"2005726",41.778361393,-87.68606283,"(41.778361393, -87.68606283)"
"2005745",41.818450351,-87.606748479,"(41.818450351, -87.606748479)"
"2005746",41.723055324,-87.661199704,"(41.723055324, -87.661199704)"
"2005801",41.896565217,-87.636368223,"(41.896565217, -87.636368223)"
"2005815",41.762419957,-87.683180808,"(41.762419957, -87.683180808)"
"2005835",41.917565094,-87.687707689,"(41.917565094, -87.687707689)"
"2005855",41.731110444,-87.608905934,"(41.731110444, -87.608905934)"
"2005876",42.0205349,-87.666418834,"(42.0205349, -87.666418834)"
"2005887",42.0205349,-87.666418834,"(42.0205349, -87.666418834)"
"2005906",41.760005657,-87.572460212,"(41.760005657, -87.572460212)"
"2005931",41.762955269,-87.676456719,"(41.762955269, -87.676456719)"
"2005932",41.77662977,-87.667815322,"(41.77662977, -87.667815322)"
"2005954",41.770249547,-87.674527403,"(41.770249547, -87.674527403)"
"2005976",41.792249921,-87.627748714,"(41.792249921, -87.627748714)"
"2006041",41.854931054,-87.704129154,"(41.854931054, -87.704129154)"
"2006057",41.786875732,-87.617405044,"(41.786875732, -87.617405044)"
"2006075",41.773624208,-87.694795243,"(41.773624208, -87.694795243)"
"2006094",41.786873855,-87.655550394,"(41.786873855, -87.655550394)"
"2006127",41.902319697,-87.687009075,"(41.902319697, -87.687009075)"
"2006146",41.784095095,-87.686217828,"(41.784095095, -87.686217828)"
"2006147",41.849993569,-87.702026705,"(41.849993569, -87.702026705)"
"2006166",41.884770936,-87.758899868,"(41.884770936, -87.758899868)"
"2006184",41.854342414,-87.717547369,"(41.854342414, -87.717547369)"
"2006220",41.876069186,-87.687170823,"(41.876069186, -87.687170823)"
"2006234",41.89364708,-87.714253714,"(41.89364708, -87.714253714)"
"2006255",41.943300617,-87.718746857,"(41.943300617, -87.718746857)"
"2006274",41.91245631,-87.663445006,"(41.91245631, -87.663445006)"
"2006298",41.802169045,-87.668449681,"(41.802169045, -87.668449681)"
"2006301",41.782606243,-87.654579713,"(41.782606243, -87.654579713)"
"2006319",41.851442887,-87.731746808,"(41.851442887, -87.731746808)"
"2006320",41.846441684,-87.695917766,"(41.846441684, -87.695917766)"
"2006335",41.823949171,-87.607941067,"(41.823949171, -87.607941067)"
"2006336",41.677135133,-87.641885243,"(41.677135133, -87.641885243)"
"2006337",41.796289432,-87.676802226,"(41.796289432, -87.676802226)"
"2006420",41.777783389,-87.615563072,"(41.777783389, -87.615563072)"
"2006440",41.859771107,-87.705484004,"(41.859771107, -87.705484004)"
"2006465",41.762007252,-87.579272426,"(41.762007252, -87.579272426)"
"2006489",41.806264438,-87.662472724,"(41.806264438, -87.662472724)"
"2006508",41.877140857,-87.721499862,"(41.877140857, -87.721499862)"
"2006536",41.675719502,-87.617748779,"(41.675719502, -87.617748779)"
"2006556",41.848057191,-87.711782945,"(41.848057191, -87.711782945)"
"2006557",41.682630557,-87.655455714,"(41.682630557, -87.655455714)"
"2006577",41.798450614,-87.616883811,"(41.798450614, -87.616883811)"
"2006600",41.769084308,-87.688260239,"(41.769084308, -87.688260239)"
"2006625",41.750421805,-87.658891391,"(41.750421805, -87.658891391)"
"2006641",41.704641317,-87.609312999,"(41.704641317, -87.609312999)"
"2006660",41.709320072,-87.566945747,"(41.709320072, -87.566945747)"
"2006681",41.679034586,-87.645606079,"(41.679034586, -87.645606079)"
"2006721",41.793839941,-87.620367621,"(41.793839941, -87.620367621)"
"2006746",41.852019321,-87.670928787,"(41.852019321, -87.670928787)"
"2006773",41.899540054,-87.640009077,"(41.899540054, -87.640009077)"
"2006774",41.945088611,-87.64501481,"(41.945088611, -87.64501481)"
"2006799",41.776238566,-87.603401333,"(41.776238566, -87.603401333)"
"2006821",41.751036939,-87.550350636,"(41.751036939, -87.550350636)"
"2006839",41.768243533,-87.689056789,"(41.768243533, -87.689056789)"
"2006860",41.888179258,-87.757796948,"(41.888179258, -87.757796948)"
"2006884",41.910754075,-87.710087618,"(41.910754075, -87.710087618)"
"2006908",41.878254507,-87.68635566,"(41.878254507, -87.68635566)"
"2006927",41.793632334,-87.619196435,"(41.793632334, -87.619196435)"
"2006944",41.751329969,-87.601030331,"(41.751329969, -87.601030331)"
"2006968",41.850134482,-87.675785789,"(41.850134482, -87.675785789)"
"2006980",41.972579335,-87.718369854,"(41.972579335, -87.718369854)"
"2006981",41.739960146,-87.562408141,"(41.739960146, -87.562408141)"
"2007007",41.777053483,-87.708571834,"(41.777053483, -87.708571834)"
"2007030",41.838048222,-87.712173381,"(41.838048222, -87.712173381)"
"2007045",41.79718415,-87.702779969,"(41.79718415, -87.702779969)"
"2007068",41.836302897,-87.721896322,"(41.836302897, -87.721896322)"
"2007092",41.785765113,-87.692357431,"(41.785765113, -87.692357431)"
"2007112",41.751290896,-87.60481278,"(41.751290896, -87.60481278)"
