"","Latitude","Longitude","Location"
"37",41.887600067,-87.618554816,"(41.887600067, -87.618554816)"
"273",41.924035234,-87.761594059,"(41.924035234, -87.761594059)"
"433",41.80334033,-87.624307781,"(41.80334033, -87.624307781)"
"496",41.875894454,-87.70413654,"(41.875894454, -87.70413654)"
"498",41.903579603,-87.689505327,"(41.903579603, -87.689505327)"
"615",41.953642088,-87.767016793,"(41.953642088, -87.767016793)"
"1085",41.930786468,-87.72328435,"(41.930786468, -87.72328435)"
"1358",41.777052285,-87.649571585,"(41.777052285, -87.649571585)"
"1380",41.877361072,-87.737812184,"(41.877361072, -87.737812184)"
"1454",41.877654733,-87.747958745,"(41.877654733, -87.747958745)"
"1939",41.694082146,-87.661911519,"(41.694082146, -87.661911519)"
"2067",41.883578179,-87.709639371,"(41.883578179, -87.709639371)"
"2116",41.878854177,-87.726844673,"(41.878854177, -87.726844673)"
"2751",41.864583947,-87.704875224,"(41.864583947, -87.704875224)"
"2766",41.760319469,-87.559049045,"(41.760319469, -87.559049045)"
"2784",41.68139574,-87.622767037,"(41.68139574, -87.622767037)"
"2806",41.846801978,-87.623527134,"(41.846801978, -87.623527134)"
"2829",42.002981436,-87.672297504,"(42.002981436, -87.672297504)"
"3069",41.774146678,-87.615478975,"(41.774146678, -87.615478975)"
"3268",41.778883826,-87.664206366,"(41.778883826, -87.664206366)"
"3275",41.878370307,-87.707248137,"(41.878370307, -87.707248137)"
"3446",41.86684563,-87.722758177,"(41.86684563, -87.722758177)"
"3657",41.849219694,-87.69162894,"(41.849219694, -87.69162894)"
"3713",41.738082912,-87.561162857,"(41.738082912, -87.561162857)"
"3836",42.02252504,-87.672216552,"(42.02252504, -87.672216552)"
"3861",41.815086325,-87.665131949,"(41.815086325, -87.665131949)"
"4120",41.878827389,-87.742766818,"(41.878827389, -87.742766818)"
"4122",41.866775044,-87.625813753,"(41.866775044, -87.625813753)"
"4305",41.73327429,-87.55133578,"(41.73327429, -87.55133578)"
"4492",41.95596519,-87.708077467,"(41.95596519, -87.708077467)"
"4509",41.671591282,-87.647793595,"(41.671591282, -87.647793595)"
"4560",41.713055619,-87.565791619,"(41.713055619, -87.565791619)"
"4638",41.653886078,-87.602142471,"(41.653886078, -87.602142471)"
"4665",41.903379284,-87.758277597,"(41.903379284, -87.758277597)"
"4855",41.800931823,-87.727059221,"(41.800931823, -87.727059221)"
"4858",41.753457689,-87.650181219,"(41.753457689, -87.650181219)"
"4889",41.786260071,-87.702450682,"(41.786260071, -87.702450682)"
"5241",41.986545628,-87.780628904,"(41.986545628, -87.780628904)"
"5257",41.841932752,-87.651461217,"(41.841932752, -87.651461217)"
"5284",41.750073766,-87.642803475,"(41.750073766, -87.642803475)"
"5300",41.877112132,-87.723839151,"(41.877112132, -87.723839151)"
"5676",41.766264384,-87.57355192,"(41.766264384, -87.57355192)"
"6087",41.850359857,-87.623741058,"(41.850359857, -87.623741058)"
"6193",41.779547527,-87.630135447,"(41.779547527, -87.630135447)"
"6212",41.874803956,-87.735273012,"(41.874803956, -87.735273012)"
"6589",41.692041778,-87.665923635,"(41.692041778, -87.665923635)"
"6803",41.895513691,-87.710797781,"(41.895513691, -87.710797781)"
"6822",41.967255606,-87.655502309,"(41.967255606, -87.655502309)"
"6832",41.707340063,-87.612102642,"(41.707340063, -87.612102642)"
"7092",41.896888586,-87.628203192,"(41.896888586, -87.628203192)"
"7112",41.777652858,-87.608323713,"(41.777652858, -87.608323713)"
"7312",41.692041778,-87.665923635,"(41.692041778, -87.665923635)"
"7320",41.946542477,-87.736084376,"(41.946542477, -87.736084376)"
"7607",41.771472076,-87.659143827,"(41.771472076, -87.659143827)"
"7645",41.88619916,-87.738651896,"(41.88619916, -87.738651896)"
"7722",41.895327973,-87.750713725,"(41.895327973, -87.750713725)"
"7791",41.858369234,-87.724942213,"(41.858369234, -87.724942213)"
"8153",41.692041778,-87.665923635,"(41.692041778, -87.665923635)"
"8379",41.875312549,-87.721895497,"(41.875312549, -87.721895497)"
"8487",41.939262335,-87.71335694,"(41.939262335, -87.71335694)"
"8949",41.780053592,-87.624956666,"(41.780053592, -87.624956666)"
"9072",41.714930554,-87.562187228,"(41.714930554, -87.562187228)"
"9119",41.855308508,-87.678379348,"(41.855308508, -87.678379348)"
"9134",41.789864285,-87.653549749,"(41.789864285, -87.653549749)"
"9155",41.8848616,-87.627920479,"(41.8848616, -87.627920479)"
"9219",41.751235326,-87.55288788,"(41.751235326, -87.55288788)"
