"","Latitude","Longitude","Location"
"23",41.967486205,-87.707222044,"(41.967486205, -87.707222044)"
"181",41.893469034,-87.632648229,"(41.893469034, -87.632648229)"
"276",41.77212509,-87.66948956,"(41.77212509, -87.66948956)"
"288",41.884521087,-87.622099893,"(41.884521087, -87.622099893)"
"694",41.715256909,-87.532859912,"(41.715256909, -87.532859912)"
"841",41.906276004,-87.670011875,"(41.906276004, -87.670011875)"
"938",41.815399239,-87.66514337,"(41.815399239, -87.66514337)"
"1590",41.891791478,-87.620917415,"(41.891791478, -87.620917415)"
"1686",41.809014313,-87.606554341,"(41.809014313, -87.606554341)"
"1727",41.878115609,-87.634097494,"(41.878115609, -87.634097494)"
"1767",41.843017697,-87.641526106,"(41.843017697, -87.641526106)"
"2539",41.786864286,-87.656254513,"(41.786864286, -87.656254513)"
"2545",41.750794483,-87.633560686,"(41.750794483, -87.633560686)"
"2566",41.845270429,-87.719700637,"(41.845270429, -87.719700637)"
"2619",41.885958797,-87.653314236,"(41.885958797, -87.653314236)"
"2711",41.953643409,-87.72801475,"(41.953643409, -87.72801475)"
"3282",41.875056172,-87.629221649,"(41.875056172, -87.629221649)"
"3309",41.869289458,-87.664865152,"(41.869289458, -87.664865152)"
"3528",41.961628212,-87.666445189,"(41.961628212, -87.666445189)"
"3576",41.88233367,-87.627841791,"(41.88233367, -87.627841791)"
"3863",41.89680182,-87.634209574,"(41.89680182, -87.634209574)"
"4493",41.875056172,-87.629221649,"(41.875056172, -87.629221649)"
"4754",41.765763563,-87.586317625,"(41.765763563, -87.586317625)"
"5030",41.769414467,-87.66394187,"(41.769414467, -87.66394187)"
"5254",41.902961643,-87.665865852,"(41.902961643, -87.665865852)"
"5270",41.748884218,-87.574717019,"(41.748884218, -87.574717019)"
"5344",41.997197492,-87.729213498,"(41.997197492, -87.729213498)"
"6026",41.949688473,-87.65851536,"(41.949688473, -87.65851536)"
"6239",41.792172174,-87.790747176,"(41.792172174, -87.790747176)"
"6368",41.95348124,-87.647905994,"(41.95348124, -87.647905994)"
"6522",41.877918222,-87.649165712,"(41.877918222, -87.649165712)"
"7083",41.976762981,-87.900983721,"(41.976762981, -87.900983721)"
