"","Latitude","Longitude","Location"
"977",41.88090842,-87.711736421,"(41.88090842, -87.711736421)"
"1159",41.722447123,-87.577035442,"(41.722447123, -87.577035442)"
"1701",41.807495991,-87.677091292,"(41.807495991, -87.677091292)"
"4074",41.980778822,-87.80543826,"(41.980778822, -87.80543826)"
"4136",41.974304052,-87.68909507,"(41.974304052, -87.68909507)"
"6581",41.909927337,-87.722722523,"(41.909927337, -87.722722523)"
"7760",41.841308429,-87.731768347,"(41.841308429, -87.731768347)"
"8203",41.865561091,-87.722715331,"(41.865561091, -87.722715331)"
"9242",41.850721522,-87.713750187,"(41.850721522, -87.713750187)"
"11663",41.77891924,-87.70648959,"(41.77891924, -87.70648959)"
"12083",41.744513282,-87.562049535,"(41.744513282, -87.562049535)"
"13873",41.940722269,-87.659771386,"(41.940722269, -87.659771386)"
"15632",41.99770396,-87.691570415,"(41.99770396, -87.691570415)"
"16484",41.843372117,-87.720863814,"(41.843372117, -87.720863814)"
"20787",41.946048865,-87.655587315,"(41.946048865, -87.655587315)"
"21032",41.948624171,-87.657659044,"(41.948624171, -87.657659044)"
"21745",41.820864788,-87.700328132,"(41.820864788, -87.700328132)"
"21871",42.007896244,-87.666598695,"(42.007896244, -87.666598695)"
"22264",41.866229446,-87.720935733,"(41.866229446, -87.720935733)"
"22266",41.838092148,-87.712176626,"(41.838092148, -87.712176626)"
"22272",41.902976579,-87.691101968,"(41.902976579, -87.691101968)"
"22311",41.881549072,-87.661285544,"(41.881549072, -87.661285544)"
"24307",41.949688473,-87.65851536,"(41.949688473, -87.65851536)"
"25381",41.949746379,-87.658562538,"(41.949746379, -87.658562538)"
"31340",41.823103963,-87.675394699,"(41.823103963, -87.675394699)"
"36105",41.942720126,-87.65419273,"(41.942720126, -87.65419273)"
"37653",41.945039683,-87.654774622,"(41.945039683, -87.654774622)"
"38765",41.948135424,-87.654355813,"(41.948135424, -87.654355813)"
"38789",41.944954205,-87.654705688,"(41.944954205, -87.654705688)"
"39580",41.949688473,-87.65851536,"(41.949688473, -87.65851536)"
"39594",41.942720126,-87.65419273,"(41.942720126, -87.65419273)"
"39595",41.949539582,-87.65839562,"(41.949539582, -87.65839562)"
"41640",41.890011565,-87.631793561,"(41.890011565, -87.631793561)"
"45153",41.802972574,-87.619430154,"(41.802972574, -87.619430154)"
"49834",41.938572513,-87.766800977,"(41.938572513, -87.766800977)"
"50420",41.932551397,-87.713113226,"(41.932551397, -87.713113226)"
"62596",41.835116429,-87.651071215,"(41.835116429, -87.651071215)"
"67545",41.962296731,-87.634883873,"(41.962296731, -87.634883873)"
