"","Latitude","Longitude","Location"
"1995",41.895492548,-87.712976061,"(41.895492548, -87.712976061)"
"10577",41.891990384,-87.611461502,"(41.891990384, -87.611461502)"
"17005",41.696838728,-87.641308068,"(41.696838728, -87.641308068)"
"29273",41.889705987,-87.678083182,"(41.889705987, -87.678083182)"
"30633",41.889705987,-87.678083182,"(41.889705987, -87.678083182)"
"32641",41.892833788,-87.773397736,"(41.892833788, -87.773397736)"
"35528",41.805924564,-87.675834584,"(41.805924564, -87.675834584)"
"45289",41.725300675,-87.604556978,"(41.725300675, -87.604556978)"
"54853",41.672614161,-87.618390779,"(41.672614161, -87.618390779)"
"73144",41.694019058,-87.613408507,"(41.694019058, -87.613408507)"
"84430",41.749953147,-87.688638706,"(41.749953147, -87.688638706)"
"90476",41.952622343,-87.714080376,"(41.952622343, -87.714080376)"
"123122",41.910888567,-87.650268589,"(41.910888567, -87.650268589)"
"125992",41.685328381,-87.62232472,"(41.685328381, -87.62232472)"
"144757",41.759057567,-87.652746098,"(41.759057567, -87.652746098)"
"150045",41.925174426,-87.666508943,"(41.925174426, -87.666508943)"
"151430",41.713753878,-87.642987258,"(41.713753878, -87.642987258)"
"151693",41.866386819,-87.707368743,"(41.866386819, -87.707368743)"
"152786",41.952443834,-87.776754753,"(41.952443834, -87.776754753)"
"160181",41.81150781,-87.645606798,"(41.81150781, -87.645606798)"
"167790",41.874850606,-87.735272577,"(41.874850606, -87.735272577)"
"189265",41.780401475,-87.675142115,"(41.780401475, -87.675142115)"
"189327",41.884483968,-87.628989611,"(41.884483968, -87.628989611)"
"190593",41.86336281,-87.639118836,"(41.86336281, -87.639118836)"
"192027",41.946589887,-87.710911313,"(41.946589887, -87.710911313)"
"192317",41.754121535,-87.707460248,"(41.754121535, -87.707460248)"
"196483",41.736738141,-87.551414669,"(41.736738141, -87.551414669)"
"198438",41.997615796,-87.69643473,"(41.997615796, -87.69643473)"
"199231",41.970008385,-87.69629429,"(41.970008385, -87.69629429)"
"203576",41.745114521,-87.606278737,"(41.745114521, -87.606278737)"
"204234",41.750940757,-87.625185222,"(41.750940757, -87.625185222)"
"204750",41.9420757,-87.734659479,"(41.9420757, -87.734659479)"
"206824",41.932651187,-87.653197025,"(41.932651187, -87.653197025)"
"208192",41.894372568,-87.745786011,"(41.894372568, -87.745786011)"
"220803",41.854013684,-87.619068382,"(41.854013684, -87.619068382)"
"222755",41.870822616,-87.7187477,"(41.870822616, -87.7187477)"
"234249",41.737750767,-87.604855911,"(41.737750767, -87.604855911)"
"245369",41.783731591,-87.703271119,"(41.783731591, -87.703271119)"
"248214",41.909520456,-87.754368684,"(41.909520456, -87.754368684)"
"252481",41.954812966,-87.834247533,"(41.954812966, -87.834247533)"
"254090",41.810290001,-87.749339097,"(41.810290001, -87.749339097)"
"266113",41.781256097,-87.614435412,"(41.781256097, -87.614435412)"
"270762",41.705677782,-87.600944364,"(41.705677782, -87.600944364)"
"275529",41.854811511,-87.684128978,"(41.854811511, -87.684128978)"
"276109",41.841343354,-87.637833902,"(41.841343354, -87.637833902)"
"276760",41.795191528,-87.588157998,"(41.795191528, -87.588157998)"
"276820",41.921778885,-87.730362702,"(41.921778885, -87.730362702)"
