"","Latitude","Longitude","Location"
"116",41.824547505,-87.633161738,"(41.824547505, -87.633161738)"
"177",41.986989467,-87.840745861,"(41.986989467, -87.840745861)"
"290",41.875272573,-87.624251314,"(41.875272573, -87.624251314)"
"493",41.862218265,-87.639087164,"(41.862218265, -87.639087164)"
"576",41.761675888,-87.593307161,"(41.761675888, -87.593307161)"
"877",41.970281428,-87.657654526,"(41.970281428, -87.657654526)"
"1075",41.998247581,-87.686241617,"(41.998247581, -87.686241617)"
"1486",41.87690443,-87.628999406,"(41.87690443, -87.628999406)"
"1604",41.856547057,-87.695604526,"(41.856547057, -87.695604526)"
"2137",41.774402139,-87.703981999,"(41.774402139, -87.703981999)"
"2293",41.730967745,-87.622528724,"(41.730967745, -87.622528724)"
"2732",41.983847337,-87.654160408,"(41.983847337, -87.654160408)"
"3022",41.89650505,-87.657521849,"(41.89650505, -87.657521849)"
"3447",41.849173995,-87.717365709,"(41.849173995, -87.717365709)"
"3709",41.894547453,-87.741365881,"(41.894547453, -87.741365881)"
"3720",41.758643476,-87.649099978,"(41.758643476, -87.649099978)"
"3812",41.861813345,-87.711631385,"(41.861813345, -87.711631385)"
"3930",41.771873623,-87.689925944,"(41.771873623, -87.689925944)"
"3966",NA,NA,""
"4255",41.889451311,-87.64121997,"(41.889451311, -87.64121997)"
"4453",41.97804827,-87.666229762,"(41.97804827, -87.666229762)"
"4565",41.988719229,-87.668384208,"(41.988719229, -87.668384208)"
"4607",41.742771149,-87.645087604,"(41.742771149, -87.645087604)"
"4778",41.774381882,-87.599712346,"(41.774381882, -87.599712346)"
"4966",NA,NA,""
"4988",41.738637555,-87.552677695,"(41.738637555, -87.552677695)"
"5296",41.712596911,-87.568199697,"(41.712596911, -87.568199697)"
"6211",41.954719937,-87.654550627,"(41.954719937, -87.654550627)"
"6316",41.80890316,-87.618139193,"(41.80890316, -87.618139193)"
"6317",41.941515351,-87.750558095,"(41.941515351, -87.750558095)"
"6572",41.878573571,-87.68697301,"(41.878573571, -87.68697301)"
"6591",41.844404349,-87.713264301,"(41.844404349, -87.713264301)"
"6981",41.76044519,-87.684351634,"(41.76044519, -87.684351634)"
"7254",41.978495324,-87.689251423,"(41.978495324, -87.689251423)"
"7259",41.877565108,-87.68479102,"(41.877565108, -87.68479102)"
"7430",41.920448643,-87.657085538,"(41.920448643, -87.657085538)"
"7520",41.780566533,-87.783816505,"(41.780566533, -87.783816505)"
"7609",41.997292363,-87.664182044,"(41.997292363, -87.664182044)"
"7762",41.77127858,-87.566586256,"(41.77127858, -87.566586256)"
"8337",41.749544921,-87.669480384,"(41.749544921, -87.669480384)"
"8449",41.864958112,-87.625775047,"(41.864958112, -87.625775047)"
"8769",41.910467985,-87.678407267,"(41.910467985, -87.678407267)"
"8858",41.850126439,-87.691832759,"(41.850126439, -87.691832759)"
"9067",41.993476518,-87.656916315,"(41.993476518, -87.656916315)"
"9170",41.752083791,-87.616560425,"(41.752083791, -87.616560425)"
"9275",41.936781717,-87.65886094,"(41.936781717, -87.65886094)"
"9549",41.86167498,-87.652855748,"(41.86167498, -87.652855748)"
"9873",41.892567687,-87.635599995,"(41.892567687, -87.635599995)"
"9918",41.756115887,-87.605326291,"(41.756115887, -87.605326291)"
"10203",41.785250371,-87.725391975,"(41.785250371, -87.725391975)"
"10682",41.949981844,-87.6575381,"(41.949981844, -87.6575381)"
"10691",41.873119908,-87.745551103,"(41.873119908, -87.745551103)"
"10905",41.750712612,-87.571089429,"(41.750712612, -87.571089429)"
"11028",41.756115887,-87.605326291,"(41.756115887, -87.605326291)"
"11371",41.984438243,-87.656636831,"(41.984438243, -87.656636831)"
"11383",41.864062245,-87.720049633,"(41.864062245, -87.720049633)"
"11434",42.007919177,-87.665351128,"(42.007919177, -87.665351128)"
"11700",41.777679377,-87.600393347,"(41.777679377, -87.600393347)"
"11715",41.677830552,-87.620503762,"(41.677830552, -87.620503762)"
"11920",41.89424269,-87.668142017,"(41.89424269, -87.668142017)"
"11954",41.798429303,-87.744521435,"(41.798429303, -87.744521435)"
"12526",41.800863342,-87.664766276,"(41.800863342, -87.664766276)"
"12608",41.817654974,-87.623056687,"(41.817654974, -87.623056687)"
"12936",41.922655899,-87.653519985,"(41.922655899, -87.653519985)"
"13259",41.729668303,-87.546917375,"(41.729668303, -87.546917375)"
"13710",41.803117224,-87.609654164,"(41.803117224, -87.609654164)"
"13782",41.764425201,-87.628137962,"(41.764425201, -87.628137962)"
"13914",41.808527816,-87.624437649,"(41.808527816, -87.624437649)"
"13965",41.894993332,-87.746970358,"(41.894993332, -87.746970358)"
"13978",41.697140136,-87.618368202,"(41.697140136, -87.618368202)"
"14120",41.876108306,-87.684860827,"(41.876108306, -87.684860827)"
"14619",41.969035858,-87.659105472,"(41.969035858, -87.659105472)"
"14664",41.878415984,-87.679013713,"(41.878415984, -87.679013713)"
"14716",NA,NA,""
"15034",41.693879672,-87.612187129,"(41.693879672, -87.612187129)"
"15035",42.009542563,-87.672259013,"(42.009542563, -87.672259013)"
"15039",41.693879672,-87.612187129,"(41.693879672, -87.612187129)"
"15109",41.748717712,-87.588274279,"(41.748717712, -87.588274279)"
"15189",41.881348623,-87.674525788,"(41.881348623, -87.674525788)"
"15554",41.872587965,-87.721466179,"(41.872587965, -87.721466179)"
"15669",41.872013415,-87.627533053,"(41.872013415, -87.627533053)"
"15731",41.779809149,-87.708644079,"(41.779809149, -87.708644079)"
"15818",41.941410366,-87.743968677,"(41.941410366, -87.743968677)"
"16103",41.7719149,-87.651869687,"(41.7719149, -87.651869687)"
"16577",41.767831458,-87.568188881,"(41.767831458, -87.568188881)"
"16632",41.765046359,-87.576945895,"(41.765046359, -87.576945895)"
"17846",41.78851612,-87.623928461,"(41.78851612, -87.623928461)"
"17849",41.767805173,-87.685769393,"(41.767805173, -87.685769393)"
"17939",41.863368893,-87.659959784,"(41.863368893, -87.659959784)"
"18142",41.989293402,-87.705537043,"(41.989293402, -87.705537043)"
"18246",NA,NA,""
"18297",41.804902058,-87.624345579,"(41.804902058, -87.624345579)"
"18336",41.792012424,-87.798229342,"(41.792012424, -87.798229342)"
