"","Latitude","Longitude","Location"
"17035",41.902020509,-87.773754609,"(41.902020509, -87.773754609)"
"20472",41.765621194,-87.619609791,"(41.765621194, -87.619609791)"
"26919",41.782297461,-87.635110176,"(41.782297461, -87.635110176)"
"36419",41.969911966,-87.689341576,"(41.969911966, -87.689341576)"
"36645",41.913070294,-87.634770532,"(41.913070294, -87.634770532)"
"36822",41.734803117,-87.551372192,"(41.734803117, -87.551372192)"
"48500",NA,NA,""
"68677",NA,NA,""
"74757",NA,NA,""
"77159",NA,NA,""
"88555",41.895616463,-87.700978901,"(41.895616463, -87.700978901)"
"93595",41.861442825,-87.660027716,"(41.861442825, -87.660027716)"
"113819",41.890686995,-87.687519335,"(41.890686995, -87.687519335)"
"132396",41.909664252,-87.742728815,"(41.909664252, -87.742728815)"
"198912",41.885908101,-87.626289429,"(41.885908101, -87.626289429)"
"215367",NA,NA,""
"227939",41.681959704,-87.680846757,"(41.681959704, -87.680846757)"
"236546",NA,NA,""
"236645",41.878562742,-87.632267636,"(41.878562742, -87.632267636)"
"239362",41.894783048,-87.770203617,"(41.894783048, -87.770203617)"
"263430",41.989596467,-87.799616093,"(41.989596467, -87.799616093)"
"273858",41.939196499,-87.718977392,"(41.939196499, -87.718977392)"
"274423",41.823635955,-87.697743639,"(41.823635955, -87.697743639)"
"274449",41.929088506,-87.648005492,"(41.929088506, -87.648005492)"
"274575",41.903400522,-87.62997193,"(41.903400522, -87.62997193)"
"274638",41.943844128,-87.649380278,"(41.943844128, -87.649380278)"
"276902",41.767504543,-87.571440534,"(41.767504543, -87.571440534)"
"283666",41.885492559,-87.657546111,"(41.885492559, -87.657546111)"
"284168",41.886443395,-87.626316579,"(41.886443395, -87.626316579)"
"284297",NA,NA,""
"287039",NA,NA,""
"288533",NA,NA,""
"291066",NA,NA,""
"294014",41.852838781,-87.626550976,"(41.852838781, -87.626550976)"
"296348",NA,NA,""
"296704",NA,NA,""
"298630",NA,NA,""
"299821",41.849559007,-87.69047306,"(41.849559007, -87.69047306)"
"299856",NA,NA,""
"303971",NA,NA,""
"307763",NA,NA,""
"309774",41.867984444,-87.725853347,"(41.867984444, -87.725853347)"
"318738",41.776551605,-87.632969132,"(41.776551605, -87.632969132)"
"323242",NA,NA,""
"323933",NA,NA,""
"324498",41.962075204,-87.673992664,"(41.962075204, -87.673992664)"
"324698",NA,NA,""
"328943",NA,NA,""
"330135",NA,NA,""
"333118",NA,NA,""
"333244",NA,NA,""
"333590",NA,NA,""
"333595",NA,NA,""
"334982",41.771178405,-87.623598973,"(41.771178405, -87.623598973)"
"336104",NA,NA,""
"336338",NA,NA,""
"336573",NA,NA,""
"337631",NA,NA,""
"338196",NA,NA,""
"338385",NA,NA,""
"338445",NA,NA,""
"338522",NA,NA,""
"338620",NA,NA,""
"339100",NA,NA,""
"339241",NA,NA,""
"339292",NA,NA,""
"339319",NA,NA,""
"339514",NA,NA,""
"339526",NA,NA,""
"339610",NA,NA,""
"339678",NA,NA,""
"340136",NA,NA,""
"340364",NA,NA,""
"340539",NA,NA,""
"340853",41.960698401,-87.740033361,"(41.960698401, -87.740033361)"
"341259",NA,NA,""
"341622",NA,NA,""
"341641",NA,NA,""
"341962",NA,NA,""
"342096",NA,NA,""
"342533",NA,NA,""
"342551",NA,NA,""
"342604",NA,NA,""
"342711",NA,NA,""
"343576",NA,NA,""
"344014",NA,NA,""
"344447",NA,NA,""
"344460",NA,NA,""
"344897",NA,NA,""
"345061",NA,NA,""
"345126",NA,NA,""
"345158",NA,NA,""
"345406",NA,NA,""
"345425",NA,NA,""
"345476",NA,NA,""
"345651",NA,NA,""
"345738",NA,NA,""
"345863",NA,NA,""
"346175",NA,NA,""
"346325",NA,NA,""
"346345",NA,NA,""
"346359",NA,NA,""
"346538",NA,NA,""
"346597",NA,NA,""
"346607",NA,NA,""
"346824",NA,NA,""
"347051",NA,NA,""
"347466",NA,NA,""
"347565",NA,NA,""
"347623",NA,NA,""
"347752",NA,NA,""
"347968",NA,NA,""
"348044",NA,NA,""
"348361",NA,NA,""
"348435",NA,NA,""
"349600",NA,NA,""
"349797",NA,NA,""
"350221",NA,NA,""
"350616",41.961988265,-87.755655128,"(41.961988265, -87.755655128)"
"361967",NA,NA,""
"363102",41.846721794,-87.668362928,"(41.846721794, -87.668362928)"
"366828",41.924791717,-87.635811219,"(41.924791717, -87.635811219)"
"368190",41.878828333,-87.636678495,"(41.878828333, -87.636678495)"
"369523",41.701966578,-87.535284177,"(41.701966578, -87.535284177)"
"370072",41.891890282,-87.613438575,"(41.891890282, -87.613438575)"
"374076",41.805421178,-87.725964232,"(41.805421178, -87.725964232)"
"374576",NA,NA,""
"378194",41.885695638,-87.644613417,"(41.885695638, -87.644613417)"
"381609",41.881650549,-87.632355065,"(41.881650549, -87.632355065)"
"386293",41.931543657,-87.745871313,"(41.931543657, -87.745871313)"
"390952",41.947802576,-87.664034506,"(41.947802576, -87.664034506)"
"398565",41.885433199,-87.626265286,"(41.885433199, -87.626265286)"
"404717",41.999417805,-87.660672138,"(41.999417805, -87.660672138)"
"407508",41.889906681,-87.624100509,"(41.889906681, -87.624100509)"
"411294",41.811469023,-87.728981031,"(41.811469023, -87.728981031)"
"425339",41.932837533,-87.643037034,"(41.932837533, -87.643037034)"
"425850",41.872879259,-87.633592804,"(41.872879259, -87.633592804)"
"431821",41.838198156,-87.634623952,"(41.838198156, -87.634623952)"
"434140",41.799551527,-87.588056142,"(41.799551527, -87.588056142)"
"452285",41.948588347,-87.657633691,"(41.948588347, -87.657633691)"
"454833",41.866332671,-87.639215203,"(41.866332671, -87.639215203)"
"457552",NA,NA,""
"471477",41.836816162,-87.665724279,"(41.836816162, -87.665724279)"
