"","Latitude","Longitude","Location"
"188",41.878391287,-87.679013964,"(41.878391287, -87.679013964)"
"219",41.789682687,-87.657189257,"(41.789682687, -87.657189257)"
"459",41.878460682,-87.755919637,"(41.878460682, -87.755919637)"
"1241",41.722521805,-87.626259274,"(41.722521805, -87.626259274)"
"2039",41.909520271,-87.754331948,"(41.909520271, -87.754331948)"
"2119",41.753159534,-87.557005833,"(41.753159534, -87.557005833)"
"2473",41.88005957,-87.753540414,"(41.88005957, -87.753540414)"
"3410",41.686336899,-87.630126289,"(41.686336899, -87.630126289)"
"4674",41.876030358,-87.708420268,"(41.876030358, -87.708420268)"
"4912",41.762026129,-87.684390684,"(41.762026129, -87.684390684)"
"5279",41.87621663,-87.70886275,"(41.87621663, -87.70886275)"
"7280",41.782195455,-87.665495543,"(41.782195455, -87.665495543)"
"8382",41.91044285,-87.753890098,"(41.91044285, -87.753890098)"
"11308",41.885737265,-87.745949604,"(41.885737265, -87.745949604)"
"18632",41.864087255,-87.704377137,"(41.864087255, -87.704377137)"
"19123",41.693484566,-87.624105905,"(41.693484566, -87.624105905)"
"19158",41.750714612,-87.603950762,"(41.750714612, -87.603950762)"
"21748",41.877263258,-87.661873894,"(41.877263258, -87.661873894)"
"22185",41.879672237,-87.703945255,"(41.879672237, -87.703945255)"
"23222",41.865743987,-87.72150207,"(41.865743987, -87.72150207)"
"24335",41.910467789,-87.751766395,"(41.910467789, -87.751766395)"
"25084",41.885734972,-87.746037763,"(41.885734972, -87.746037763)"
"25322",41.769841049,-87.662738721,"(41.769841049, -87.662738721)"
"25651",41.879672237,-87.703945255,"(41.879672237, -87.703945255)"
"29154",41.771073429,-87.680882916,"(41.771073429, -87.680882916)"
"32708",41.778459234,-87.669068608,"(41.778459234, -87.669068608)"
"39311",41.880070565,-87.753543987,"(41.880070565, -87.753543987)"
"39416",41.866215538,-87.721930788,"(41.866215538, -87.721930788)"
"40637",41.866215538,-87.721930788,"(41.866215538, -87.721930788)"
"41584",41.87529222,-87.72374996,"(41.87529222, -87.72374996)"
"43291",41.789740313,-87.657188651,"(41.789740313, -87.657188651)"
"44536",41.866099751,-87.660015567,"(41.866099751, -87.660015567)"
"78681",41.86709983,-87.723600169,"(41.86709983, -87.723600169)"
"79804",41.867097632,-87.723702988,"(41.867097632, -87.723702988)"
"80601",41.767568306,-87.671175092,"(41.767568306, -87.671175092)"
"81126",41.883705962,-87.749067634,"(41.883705962, -87.749067634)"
"82541",41.689880287,-87.621729073,"(41.689880287, -87.621729073)"
"88634",41.885384489,-87.707227401,"(41.885384489, -87.707227401)"
"90883",41.867099694,-87.723574471,"(41.867099694, -87.723574471)"
"99575",41.854843535,-87.711236387,"(41.854843535, -87.711236387)"
"102323",41.986994535,-87.701675419,"(41.986994535, -87.701675419)"
"103200",41.870065355,-87.70407989,"(41.870065355, -87.70407989)"
"103356",41.908545164,-87.754697111,"(41.908545164, -87.754697111)"
"104159",41.878455143,-87.7564558,"(41.878455143, -87.7564558)"
"105158",41.878590393,-87.74578372,"(41.878590393, -87.74578372)"
"106646",41.889751946,-87.631072891,"(41.889751946, -87.631072891)"
"107645",41.87190846,-87.701891882,"(41.87190846, -87.701891882)"
"108955",41.87274411,-87.709175599,"(41.87274411, -87.709175599)"
"109673",41.884070664,-87.722124148,"(41.884070664, -87.722124148)"
"111201",41.894538914,-87.710186524,"(41.894538914, -87.710186524)"
"111567",41.878028319,-87.721700699,"(41.878028319, -87.721700699)"
"112202",41.875471531,-87.709108672,"(41.875471531, -87.709108672)"
"112807",41.885386072,-87.707014386,"(41.885386072, -87.707014386)"
"115852",41.766080013,-87.666278518,"(41.766080013, -87.666278518)"
"118131",41.866022043,-87.665035028,"(41.866022043, -87.665035028)"
"118157",41.901791872,-87.721400499,"(41.901791872, -87.721400499)"
"118228",41.780498171,-87.687342915,"(41.780498171, -87.687342915)"
"118960",41.878405695,-87.760282469,"(41.878405695, -87.760282469)"
"119517",41.778656405,-87.684846319,"(41.778656405, -87.684846319)"
"120745",41.885736814,-87.74586147,"(41.885736814, -87.74586147)"
"120760",41.867099577,-87.723552444,"(41.867099577, -87.723552444)"
